ODR_Model,OR_Box_Direction,OS_confirm_dir,OS_stays_true,num_days,low_p80,low_p50,low_p20,high_p20,high_p50,high_p80
RX,flat,Short,False,1.0,-0.5608898184238045,-0.5608898184238045,-0.5608898184238045,0.8841144595493868,0.8841144595493868,0.8841144595493868
RX,flat,Short,True,7.0,-0.6329068677915436,-1.7566110723571564,-2.269028904681153,-0.3649304213999129,0.21887015675835553,0.6923453271847674
RX,flat,,,3.0,-0.6914703325090847,-1.3929127594710704,-2.0943551864330563,0.3755863066283462,0.5343282185022205,0.6930701303760948
RX,up,Long,False,23.0,-0.2706773641592762,-0.5220595762104617,-0.9987541571580074,0.2127209777417466,0.5749070003381805,1.1280818124946108
RX,up,Long,True,121.0,0.07058823529411765,-0.26142029376094866,-0.9592326139088728,0.38148946757339525,0.7981492192018509,1.285591848395391
RX,up,Short,False,18.0,-0.1588566078430217,-0.3515454425437583,-0.835494345050012,0.3191639883235109,0.6823861569093861,1.4367391717124836
RX,up,Short,True,112.0,-0.3986678972528012,-0.7147691653811705,-1.4180977335458242,0.06374381997659136,0.2943926878448785,0.8166604028302926
RX,up,,,18.0,0.023644393983688766,-0.18599628007439853,-0.7450232473239812,0.11497740961340355,0.37799244015119693,0.8009875752321007
U,down,Long,False,7.0,-0.29109827229102864,-0.5321350440489564,-1.5131113666743565,-0.0539469368701851,0.20102879441849464,0.5695597238886557
U,down,Long,True,73.0,0.1032510442374,-0.33710570671803514,-0.8933536785334462,0.3264759182170105,0.7209278027374361,1.2410566803457872
U,down,Short,False,10.0,0.051685303416391014,-0.3300391837700961,-0.9217746354436803,0.4809149801959824,0.8209436233475824,1.3584789081473625
U,down,Short,True,39.0,-0.33268680226981007,-0.7860370118215014,-1.6194068104639174,0.02929157833601819,0.4167543675015786,0.7885237038705103
U,down,,,4.0,0.04820849494270178,-0.15276092017154247,-0.3924840700058455,0.806451484893721,1.011755900872541,2.75561606124049
U,flat,Long,False,1.0,-0.09876310962705168,-0.09876310962705168,-0.09876310962705168,0.9358980388468231,0.9358980388468231,0.9358980388468231
U,flat,Long,True,5.0,0.1225827304114952,-0.14433485686793363,-0.22650982860958863,0.47079211417284167,0.6134231416887178,1.3390305030714267
U,flat,Short,True,1.0,-0.30472028977174725,-0.30472028977174725,-0.30472028977174725,0.1437359857413902,0.1437359857413902,0.1437359857413902
U,up,Long,False,12.0,-0.15926681487934607,-0.632559124637667,-0.9066590098132274,0.27503308340989485,0.4310223571957412,0.727867267689279
U,up,Long,True,49.0,0.007334251059148613,-0.23310993631103527,-0.7522411092123347,0.44264202030664057,0.7317304951059583,1.337127186329806
U,up,Short,False,15.0,-0.2669150568366133,-0.6117908787541714,-1.3822687262267856,0.10568662282707326,0.664730867989729,0.9327220422267495
U,up,Short,True,58.0,-0.33040441754558536,-0.9135026548478866,-1.7068764852645435,0.006184483131822263,0.25010334460048894,0.8127622818107338
U,up,,,8.0,-0.13401214441432097,-0.8996041741633681,-1.0799876614152628,0.10946466437201248,0.3728887914016232,0.7131034580636281
UX,down,Long,False,15.0,-0.4085943317279374,-0.8045771500089397,-1.580701148648928,0.13349556524477102,0.2401104508073714,0.9125286383722023
UX,down,Long,True,81.0,0.022670596236681023,-0.20327633624297503,-0.8518693800283956,0.2612987515726314,0.7689139091033915,1.4888254074945386
UX,down,Short,False,13.0,-0.29176305108370604,-0.7890833580539899,-1.1512435561903809,0.26675383548082704,0.5479837009976113,0.9223526818452856
UX,down,Short,True,76.0,-0.3135197389468296,-0.7149792465999187,-1.465245822232986,0.010355182768975874,0.25398136117926484,0.6006006006006006
UX,down,,,13.0,-0.043510299653918054,-0.25861055601269545,-0.47718483850097426,0.17425287355630453,0.6265494703628578,0.8942547651095404
UX,flat,Long,False,3.0,-0.3993372332763626,-0.7500863070018517,-0.9012797051310104,0.06468592836597559,0.3662804894592615,1.3912160843064427
UX,flat,Long,True,8.0,-0.01763700294293196,-0.19809763784018397,-0.39920738332359473,0.3628093156701905,0.49840816689036016,0.7827189200559337
UX,flat,Short,False,1.0,-0.07494719629352047,-0.07494719629352047,-0.07494719629352047,0.29297540369285274,0.29297540369285274,0.29297540369285274
UX,flat,Short,True,2.0,-0.4423486095811239,-0.66407629253626,-0.885803975491396,0.5032018783864419,0.7110201237360907,0.9188383690857396
UX,flat,,,3.0,-0.23562746998732378,-0.5890686749683096,-1.6901068448737493,-0.08898150103739483,0.18641413764819925,0.43633430177656424
UX,up,Long,False,36.0,-0.21303326596383898,-0.5799091338847319,-1.3320647002854424,0.1875037803181516,0.39073766063113624,0.9434674315042645
UX,up,Long,True,104.0,-0.011964971106329682,-0.3224931889200463,-0.8249123930113661,0.2934046495144017,0.5703864076557121,1.1215470101127614
UX,up,Short,False,34.0,-0.1477539879599233,-0.6603533568904594,-1.4504906566769376,0.033794355091057035,0.5553837521808433,1.32549045902773
UX,up,Short,True,99.0,-0.42974912477128774,-0.7793127878143818,-1.9679038630239716,-0.1419463919954421,0.1850709438618137,0.6727371435526719
UX,up,,,18.0,-0.1965736303274231,-0.4359925788497217,-1.371927781756124,0.1183313371378471,0.1924557351809084,0.4669937846958327
UXP,down,Long,False,36.0,-0.22135194959986376,-0.5137227427122838,-0.9348093480934809,0.061637665354890715,0.3870208286192296,0.8823796961702901
UXP,down,Long,True,180.0,0.022497398852635797,-0.2470864656575168,-0.785769352610667,0.33401576473143046,0.7432631492518866,1.437569565540258
UXP,down,Short,False,46.0,-0.21151370240941694,-0.4262049232765731,-1.203888495461276,0.21245091096375457,0.49162893911172945,1.244450003126759
UXP,down,Short,True,124.0,-0.40237031236302956,-0.8750748546131911,-1.7693228492425326,-0.07189182883120226,0.18344031307573516,0.6541507093045952
UXP,down,,,18.0,-0.004173187271778807,-0.403273459114172,-0.823139442318249,0.11783457800694108,0.3732220347258782,1.005435828311703
UXP,flat,Long,False,2.0,-0.5936429105709812,-0.7391094049927999,-0.8845758994146187,0.3639682240867912,0.6053004891389614,0.8466327541911316
UXP,flat,Long,True,23.0,0.18653701199568648,-0.05300438490820604,-0.7093085026462059,0.300440709064081,0.6404708326120824,1.4900475000653732
UXP,flat,Short,False,8.0,-0.13353403141361256,-0.16709947749443177,-0.5897989100873778,0.25392531916446315,0.3367700456047396,0.6527817365104259
UXP,flat,Short,True,12.0,-0.24867076381620348,-0.45318058282065526,-0.8585964201898142,0.13862843452723042,0.24329400389002923,0.4853537077277657
UXP,flat,,,1.0,-0.9618230245634802,-0.9618230245634802,-0.9618230245634802,-0.11837821840781297,-0.11837821840781297,-0.11837821840781297
UXP,up,Long,False,71.0,-0.3226112534396053,-0.6629597946963216,-1.2855284337721329,0.13263166901980916,0.3022326216242566,0.8429882479963458
UXP,up,Long,True,309.0,0.021059122251695258,-0.22592562267286104,-0.7806896581938941,0.3085059817935671,0.5993273127736017,1.1281165782414546
UXP,up,Short,False,86.0,-0.2121522728898,-0.5222343235867684,-1.428898271594667,0.25327510917030566,0.5613240204881742,1.0403306256234859
UXP,up,Short,True,303.0,-0.3690297672281884,-0.74246081456812,-1.587472757190444,0.015619961320321526,0.23973816423106592,0.7546080827649378
UXP,up,,,41.0,-0.09293680297397769,-0.48681876315029504,-1.3599105812220567,0.22620169651272384,0.42965536155041595,0.8711111111111111
Undefined (Missing Data),down,Long,True,1.0,-0.37722073497201264,-0.37722073497201264,-0.37722073497201264,0.7057678267218301,0.7057678267218301,0.7057678267218301
Undefined (Missing Data),down,Short,True,1.0,-0.4146249528835281,-0.4146249528835281,-0.4146249528835281,0.07538635506973237,0.07538635506973237,0.07538635506973237
Undefined (Missing Data),flat,Long,False,8.0,-0.135352013961373,-0.35590615962484856,-0.6016106726399129,0.02334123763323164,0.2788026677498484,0.5069216175465159
Undefined (Missing Data),flat,Long,True,18.0,0.03647818987108871,-0.1276981154035649,-0.3935434687877224,0.34514749596996475,0.5807694395837388,1.5625166606104823
Undefined (Missing Data),flat,Short,False,4.0,-0.06894221020615068,-0.20646954149176472,-0.48260858843976784,0.3478383816323404,0.6034944177129407,1.7875858961360827
Undefined (Missing Data),flat,Short,True,16.0,-0.28808066258552395,-0.6908509640107231,-1.2577480893061324,0.07196235815112095,0.22824525269246237,0.574563900823024
Undefined (Missing Data),flat,,,4.0,-0.5668711800397729,-0.784859448928472,-2.2637586705627504,0.2608574700611585,0.2727525744503201,2.867225258492592
