day1_tue_overnight_vs_regular_model,num_weeks,low_p80,low_p50,low_p20,high_p20,high_p50,high_p80
D,24,-0.460068346881625,-0.9757637545327108,-2.8156712280784832,0.3434834897950265,1.2532514140618423,2.640159367930582
DX,73,-0.45323270826498213,-0.9596181012226606,-2.5833340748320506,0.28139573824029324,1.036701620591039,2.1995726665101873
DXP,234,-0.9852294577163865,-2.0524422803506672,-4.120236964307558,-0.23577988531054042,0.5962963443103261,1.6097749259481138
RC,129,-0.4155366531892969,-1.2331838565022422,-3.0394204972084697,0.37009167296090295,0.9104497893735563,2.3078263926076925
RX,8,-0.6545123979127291,-1.7921535941470303,-3.3242307346428115,0.6101656015549665,1.0215833302858655,1.8855280229700615
U,16,-0.21482976368725992,-0.7530925087838278,-1.723237597911227,0.9275415556984112,1.7691636143716905,2.189082499302205
UX,101,-0.14794358417989942,-0.8694109297374025,-1.9479670545169303,0.6495340299350466,1.3061968408262454,2.359691454193107
UXP,315,0.3673821953141659,-0.3335136109608798,-1.7403903304227364,0.9327572391497573,1.7962979848636822,3.211439367103095
Undefined (Missing Data),7,-0.30011162280848314,-1.1692726036709722,-2.1671424573621345,0.8058522682080514,0.918782709827486,1.61966374804667
