Id,Start,Name,Impact,Currency
35304958-28b4-4760-abac-3b9cff97d4ca,3/26/08 12:30,Durable Goods Orders,HIGH,USD
fbe5afa8-2439-4d28-a02c-3f6848035e55,3/26/08 12:30,Durable Goods Orders ex Transportation,HIGH,USD
cada1784-f5d5-4a9b-b742-e5caa6a6a196,3/27/08 12:30,Gross Domestic Product Price Index,HIGH,USD
00bddeec-3bff-4545-ac7b-98fc2df7177e,3/28/08 12:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
170fcc89-a2a4-4c97-8c52-83643a4b74b0,3/28/08 12:30,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
4572a64e-d80a-4519-b2ba-10ac0f940d57,3/28/08 12:30,Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
923b20e9-0914-48fd-9c09-ad55f1d677ae,3/28/08 12:30,Personal Income (MoM),HIGH,USD
c67c08a7-e6a9-41d5-a073-ac93416da404,4/3/08 14:00,ISM Services PMI,HIGH,USD
69f3b583-8293-48c0-889f-02a22c0c0f87,4/4/08 12:30,Average Hourly Earnings (MoM),HIGH,USD
b5515ec7-d2f4-41d8-bbe2-b25e8e157546,4/4/08 12:30,Average Hourly Earnings (YoY),HIGH,USD
e0c2dc92-5557-4a1a-bddc-9e6cdbbec13b,4/4/08 12:30,Average Weekly Hours,HIGH,USD
a87800fe-2fda-4cbd-ad06-411e34197bd1,4/4/08 12:30,Nonfarm Payrolls,HIGH,USD
b6a3328f-8460-4296-bfb3-414f7c0de720,4/4/08 12:30,Unemployment Rate,HIGH,USD
3ffed0a6-72f0-434b-be18-37ff07eb1a5c,4/7/08 19:00,Consumer Credit Change,HIGH,USD
9f9ac569-d230-4efb-bb1d-6d761d1790c5,4/10/08 12:30,Goods and Services Trade Balance,HIGH,USD
05ccf1f2-192f-4627-8e10-0b67733e380c,4/14/08 12:30,Retail Sales (MoM),HIGH,USD
eb52a42f-106b-4cef-8f45-6163a391f0b7,4/14/08 12:30,Retail Sales ex Autos (MoM),HIGH,USD
228370a8-0111-4465-b8a3-9f863d132734,4/16/08 12:30,Consumer Price Index (MoM),HIGH,USD
b60e484f-3ca3-4b88-9df0-fc8156296a31,4/16/08 12:30,Consumer Price Index (YoY),HIGH,USD
5b3ca38c-d6a1-4552-b441-e9ee0342c1a8,4/16/08 12:30,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
f909accf-1dc2-423b-8ec7-8cbca226cb9d,4/16/08 12:30,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
ebc6efc6-4dd8-4a26-bf2e-8c26e4aca83c,4/30/08 12:30,Core Personal Consumption Expenditures (QoQ),HIGH,USD
72841caa-a0c4-4a6f-865c-be474e911e6d,4/30/08 12:30,Gross Domestic Product Price Index,HIGH,USD
6fd212f3-9b52-4a83-87c7-c9ee4634009e,4/30/08 18:15,Fed Interest Rate Decision,HIGH,USD
