name,train_target,score_mode,ev_gate_col,ev_min_points,ev_min_R,min_risk_pts,max_risk_pts,total_R,avg_R,max_dd_R,n_entered,profitable_windows,n_test_windows,RR_sum_R,RR_n,TOUT_sum_R,TOUT_n
ev0p75_min5p05_noMax,points,lcb,mean,0.75,,5.05,,70.36003944744112,0.09431640676600687,-18.35748441575831,746,23,55,52.45921550337859,526,15.819209036205255,112
ev0p75_min5p05_max40,points,lcb,mean,0.75,,5.05,40.0,64.10282996884462,0.08853982039895665,-18.35748441575831,724,23,55,49.99643132408776,514,11.99141637247708,101
ev0p75_min5p05_max50,points,lcb,mean,0.75,,5.05,50.0,67.93062263257279,0.09242261582662965,-18.35748441575831,735,23,55,49.99643132408776,514,15.819209036205255,112
ev0p75_min5p05_max60,points,lcb,mean,0.75,,5.05,60.0,67.93062263257279,0.09242261582662965,-18.35748441575831,735,23,55,49.99643132408776,514,15.819209036205255,112
ev0p75_min5p05_max80,points,lcb,mean,0.75,,5.05,80.0,67.93062263257279,0.09242261582662965,-18.35748441575831,735,23,55,49.99643132408776,514,15.819209036205255,112
targetR_evR0p15_min5p05,R,lcb,mean,0.25,0.15,5.05,,44.43426057832175,0.08528648863401488,-23.073608764332086,521,23,55,40.91864126783178,323,6.038333622768207,61
ev0p60_min5p05_noMax,points,lcb,mean,0.6,,5.05,,69.41511263981083,0.0860162486243009,-23.781835648511922,807,21,55,47.57053867668059,554,12.048572210818875,126
ev0p90_min5p05_noMax,points,lcb,mean,0.9,,5.05,,68.29541704575072,0.09869279919906174,-17.04818922652892,692,23,55,55.68549276109859,501,14.20040133575802,98
