entry_ts,entry_time,entry_time_et,ny_day,session,setup,direction,entry_price,stop_price,primary_target,primary_reason,r_target,reasoning,hit_1h,r_1h,hit_2h,r_2h,hit_4h,r_4h,hit_session,r_session
1451955600,2016-01-05 01:00:00+00:00,2016-01-04 20:00:00-05:00,2016-01-04,AR,percentile_extension,short,2011.0,2013.25,1980.25,intraday_pct_level,13.666666666666666,"setup=percentile_extension, rej_count=93, rej_long_share=0.00, wick=0.45, conf=2.00, p_bias=-1.00, wddrb_bias=1.00, breakout=False, first_break=True, target=intraday_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,open,0.0
1452026400,2016-01-05 20:40:00+00:00,2016-01-05 15:40:00-05:00,2016-01-05,RS,percentile_extension,short,2009.5,2007.375,2003.14,daycycle_pct_level,2.9929411764705414,"setup=percentile_extension, rej_count=15, rej_long_share=0.00, wick=0.47, conf=1.63, p_bias=-0.72, wddrb_bias=0.09, breakout=True, first_break=False, target=daycycle_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1452232500,2016-01-08 05:55:00+00:00,2016-01-08 00:55:00-05:00,2016-01-08,AS,wddrb_completion,short,1950.0,1958.75,1930.25,prev_wddrb_lo,2.257142857142857,"setup=wddrb_completion, rej_count=25, rej_long_share=0.00, wick=0.40, conf=1.17, p_bias=0.52, wddrb_bias=-1.00, breakout=False, first_break=False, target=prev_wddrb_lo",open,0.0,stop,-1.0,stop,-1.0,open,0.0
1452236400,2016-01-08 07:00:00+00:00,2016-01-08 02:00:00-05:00,2016-01-08,TO,wddrb_completion,short,1956.0,1949.0,1930.25,prev_wddrb_lo,3.6785714285714284,"setup=wddrb_completion, rej_count=24, rej_long_share=0.00, wick=0.42, conf=1.75, p_bias=0.00, wddrb_bias=-1.00, breakout=False, first_break=False, target=prev_wddrb_lo",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1452252900,2016-01-08 11:35:00+00:00,2016-01-08 06:35:00-05:00,2016-01-08,OS,wddrb_completion,short,1944.5,1937.75,1930.25,prev_wddrb_lo,2.111111111111111,"setup=wddrb_completion, rej_count=22, rej_long_share=0.00, wick=0.41, conf=1.76, p_bias=-1.00, wddrb_bias=-1.00, breakout=True, first_break=False, target=prev_wddrb_lo",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1453117800,2016-01-18 11:50:00+00:00,2016-01-18 06:50:00-05:00,2016-01-18,OS,percentile_extension,short,1881.75,1874.125,1852.30625,daycycle_pct_level,3.8614754098360535,"setup=percentile_extension, rej_count=15, rej_long_share=0.00, wick=0.47, conf=1.57, p_bias=-0.78, wddrb_bias=1.00, breakout=True, first_break=False, target=daycycle_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1453713600,2016-01-25 09:20:00+00:00,2016-01-25 04:20:00-05:00,2016-01-25,OS,percentile_extension,short,1891.75,1893.5,1887.4527649769586,intraday_pct_level,2.4555628703093526,"setup=percentile_extension, rej_count=32, rej_long_share=0.00, wick=0.41, conf=1.66, p_bias=-0.24, wddrb_bias=1.00, breakout=False, first_break=True, target=intraday_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1453860900,2016-01-27 02:15:00+00:00,2016-01-26 21:15:00-05:00,2016-01-26,AS,asia_rotation,short,1885.25,1890.5,1861.0,asia_low,4.619047619047619,"setup=asia_rotation, rej_count=43, rej_long_share=0.00, wick=0.42, conf=1.83, p_bias=-0.50, wddrb_bias=-0.00, breakout=True, first_break=False, target=asia_low",open,0.0,open,0.0,open,0.0,open,0.0
1454378400,2016-02-02 02:00:00+00:00,2016-02-01 21:00:00-05:00,2016-02-01,AS,asia_rotation,short,1925.25,1925.75,1923.75,asia_low,3.0,"setup=asia_rotation, rej_count=58, rej_long_share=0.00, wick=0.43, conf=1.88, p_bias=-0.10, wddrb_bias=0.72, breakout=False, first_break=True, target=asia_low",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1454490900,2016-02-03 09:15:00+00:00,2016-02-03 04:15:00-05:00,2016-02-03,OS,wddrb_completion,short,1907.0,1910.875,1889.0,prev_wddrb_lo,4.645161290322581,"setup=wddrb_completion, rej_count=29, rej_long_share=0.00, wick=0.45, conf=1.46, p_bias=0.00, wddrb_bias=-1.00, breakout=False, first_break=False, target=prev_wddrb_lo",open,0.0,open,0.0,open,0.0,open,0.0
1454554200,2016-02-04 02:50:00+00:00,2016-02-03 21:50:00-05:00,2016-02-03,AS,asia_rotation,short,1918.0,1919.5,1889.75,asia_low,18.833333333333332,"setup=asia_rotation, rej_count=6, rej_long_share=0.00, wick=0.50, conf=1.53, p_bias=1.00, wddrb_bias=1.00, breakout=True, first_break=False, target=asia_low",open,0.0,stop,-1.0,stop,-1.0,stop,-1.0
1454584500,2016-02-04 11:15:00+00:00,2016-02-04 06:15:00-05:00,2016-02-04,OS,percentile_extension,short,1913.0,1919.5,1893.625,intraday_pct_level,2.980769230769231,"setup=percentile_extension, rej_count=35, rej_long_share=0.00, wick=0.40, conf=1.61, p_bias=-0.28, wddrb_bias=1.00, breakout=True, first_break=False, target=intraday_pct_level",open,0.0,open,0.0,tp,2.980769230769231,open,0.0
