entry_ts,entry_time,entry_time_et,ny_day,session,direction,entry_price,stop_price,primary_target,primary_reason,r_target,setup_score,reasoning,rej_count,rej_long_share,rej_wick_mean,rej_conf_mean,p_bias,wddrb_bias,rej_24h_orientation,current_session_break_out,current_session_break_out_direction,first_break_true,hit_1h,r_1h,hit_2h,r_2h,hit_4h,r_4h,hit_session,r_session
1750837200,2025-06-25 07:40:00+00:00,2025-06-25 03:40:00-04:00,2025-06-25,OR,short,6144.25,6149.25,6109.0,prev_wddrb_lo,7.05,3.2426666666666666,"rej_count=14, rej_long_share=0.00, wick=0.43, conf=1.61, p_bias=-0.30, wddrb_bias=0.74, breakout=False, first_break=False, target=prev_wddrb_lo",14.0,0.0,0.42857142857142855,1.6142857142857134,-0.30000000000000004,0.738,bearish,False,,False,open,0.0,stop,-1.0,stop,-1.0,open,0.0
1739239500,2025-02-11 02:05:00+00:00,2025-02-10 21:05:00-05:00,2025-02-10,AS,short,6074.0,6075.75,6067.75,prev_wddrb_lo,3.5714285714285716,3.1653333333333338,"rej_count=28, rej_long_share=0.00, wick=0.46, conf=1.54, p_bias=-0.12, wddrb_bias=0.05, breakout=True, first_break=False, target=prev_wddrb_lo",28.0,0.0,0.4642857142857143,1.5392857142857141,-0.12000000000000005,0.045999999999999985,bearish,True,short,False,open,0.0,stop,-1.0,stop,-1.0,stop,-1.0
1736819100,2025-01-14 01:45:00+00:00,2025-01-13 20:45:00-05:00,2025-01-13,AS,short,5889.0,5896.75,5834.75,asia_low,7.0,3.12,"rej_count=12, rej_long_share=0.00, wick=0.42, conf=1.34, p_bias=-0.06, wddrb_bias=1.00, breakout=False, first_break=False, target=asia_low",12.0,0.0,0.4166666666666667,1.3416666666666666,-0.06000000000000005,1.0,bearish,False,,False,open,0.0,open,0.0,open,0.0,open,0.0
1741739700,2025-03-12 00:35:00+00:00,2025-03-11 20:35:00-04:00,2025-03-11,AS,short,5588.5,5596.0,5534.0,prev_wddrb_lo,7.266666666666667,2.990666666666667,"rej_count=5, rej_long_share=0.00, wick=0.40, conf=1.12, p_bias=0.34, wddrb_bias=-0.70, breakout=False, first_break=True, target=prev_wddrb_lo",5.0,0.0,0.4,1.1199999999999992,0.34,-0.697,bearish,False,,True,open,0.0,stop,-1.0,stop,-1.0,stop,-1.0
1753230000,2025-07-23 00:20:00+00:00,2025-07-22 20:20:00-04:00,2025-07-22,AR,short,6353.25,6362.5,6318.75,prev_wddrb_lo,3.72972972972973,2.8933333333333335,"rej_count=4, rej_long_share=0.00, wick=0.50, conf=1.30, p_bias=-0.28, wddrb_bias=1.00, breakout=False, first_break=False, target=prev_wddrb_lo",4.0,0.0,0.5,1.2999999999999965,-0.28,1.0,bearish,False,,False,open,0.0,open,0.0,stop,-1.0,open,0.0
1738888200,2025-02-07 00:30:00+00:00,2025-02-06 19:30:00-05:00,2025-02-06,AR,short,6100.25,6101.75,6093.25,monthly_cluster,4.666666666666667,2.724666666666667,"rej_count=29, rej_long_share=0.00, wick=0.48, conf=1.51, p_bias=0.04, wddrb_bias=0.11, breakout=False, first_break=False, target=monthly_cluster",29.0,0.0,0.4827586206896552,1.5068965517241375,0.040000000000000036,0.11399999999999999,bearish,False,,,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1752019200,2025-07-09 00:00:00+00:00,2025-07-08 20:00:00-04:00,2025-07-08,AR,short,6267.0,6268.0,6262.5,prev_wddrb_lo,4.5,2.6526666666666667,"rej_count=14, rej_long_share=0.00, wick=0.43, conf=1.57, p_bias=-0.38, wddrb_bias=0.11, breakout=False, first_break=True, target=prev_wddrb_lo",14.0,0.0,0.42857142857142855,1.5714285714285696,-0.37999999999999995,0.11299999999999999,bearish,False,,True,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1753140600,2025-07-21 23:30:00+00:00,2025-07-21 19:30:00-04:00,2025-07-21,AR,short,6348.25,6349.75,6341.0,prev_wddrb_lo,4.833333333333333,2.6393333333333335,"rej_count=28, rej_long_share=0.00, wick=0.43, conf=1.76, p_bias=0.04, wddrb_bias=0.11, breakout=False, first_break=False, target=prev_wddrb_lo",28.0,0.0,0.42857142857142855,1.7571428571428567,0.040000000000000036,0.11299999999999999,bearish,False,,,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1745972100,2025-04-30 00:15:00+00:00,2025-04-29 20:15:00-04:00,2025-04-29,AR,short,5569.75,5562.0,5527.75,prev_wddrb_lo,5.419354838709677,2.548,"rej_count=24, rej_long_share=0.00, wick=0.42, conf=1.15, p_bias=0.16, wddrb_bias=0.11, breakout=False, first_break=False, target=prev_wddrb_lo",24.0,0.0,0.4166666666666667,1.1499999999999997,0.15999999999999998,0.11399999999999999,bearish,False,,False,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1753747200,2025-07-29 00:00:00+00:00,2025-07-28 20:00:00-04:00,2025-07-28,AR,short,6426.75,6432.0,6408.75,prev_wddrb_lo,3.4285714285714284,2.506,"rej_count=18, rej_long_share=0.00, wick=0.56, conf=1.22, p_bias=-0.14, wddrb_bias=0.11, breakout=False, first_break=True, target=prev_wddrb_lo",18.0,0.0,0.5555555555555556,1.2194444444444439,-0.13999999999999996,0.11299999999999999,bearish,False,,True,open,0.0,open,0.0,stop,-1.0,open,0.0
1738787700,2025-02-05 20:35:00+00:00,2025-02-05 15:35:00-05:00,2025-02-05,RS,short,6079.75,6093.75,6029.5,prev_wddrb_lo,3.5892857142857144,2.4779999999999998,"rej_count=9, rej_long_share=0.00, wick=0.56, conf=1.73, p_bias=0.50, wddrb_bias=0.11, breakout=True, first_break=False, target=prev_wddrb_lo",9.0,0.0,0.5555555555555556,1.7333333333333316,0.5,0.11399999999999999,bearish,True,long,False,open,0.0,open,0.0,stop,-1.0,open,0.0
1736368800,2025-01-08 20:40:00+00:00,2025-01-08 15:40:00-05:00,2025-01-08,RS,short,5954.25,5949.0,5917.0,prev_wddrb_lo,7.095238095238095,2.1446666666666667,"rej_count=5, rej_long_share=0.00, wick=0.60, conf=1.76, p_bias=0.50, wddrb_bias=0.11, breakout=True, first_break=False, target=prev_wddrb_lo",5.0,0.0,0.6,1.7600000000000002,0.5,0.11399999999999999,bearish,True,long,False,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1747760100,2025-05-20 16:55:00+00:00,2025-05-20 12:55:00-04:00,2025-05-20,RS,short,5964.5,5960.75,5950.75,prev_wddrb_lo,3.6666666666666665,2.1013333333333333,"rej_count=4, rej_long_share=0.00, wick=0.50, conf=2.00, p_bias=0.52, wddrb_bias=0.11, breakout=True, first_break=False, target=prev_wddrb_lo",4.0,0.0,0.5,1.9999999999999947,0.52,0.11399999999999999,bearish,True,long,False,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1740083400,2025-02-20 20:30:00+00:00,2025-02-20 15:30:00-05:00,2025-02-20,RS,short,6132.5,6134.25,6121.875,intraday_pct_level,6.071428571428571,1.9933333333333334,"rej_count=7, rej_long_share=0.00, wick=0.57, conf=2.00, p_bias=-0.34, wddrb_bias=0.11, breakout=False, first_break=True, target=intraday_pct_level",7.0,0.0,0.5714285714285714,2.0,-0.34,0.11499999999999999,bearish,False,,True,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1740014400,2025-02-20 01:20:00+00:00,2025-02-19 20:20:00-05:00,2025-02-19,AR,short,6149.75,6145.0,6129.25,prev_wddrb_lo,4.315789473684211,1.878,"rej_count=15, rej_long_share=0.00, wick=0.40, conf=1.29, p_bias=-0.20, wddrb_bias=0.11, breakout=False, first_break=False, target=prev_wddrb_lo",15.0,0.0,0.4,1.2866666666666666,-0.19999999999999996,0.11399999999999999,bearish,False,,False,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1745885400,2025-04-29 00:10:00+00:00,2025-04-28 20:10:00-04:00,2025-04-28,AR,short,5548.0,5563.0,5492.0,prev_wddrb_lo,3.7333333333333334,1.628,"rej_count=12, rej_long_share=0.00, wick=0.50, conf=1.32, p_bias=-0.20, wddrb_bias=0.11, breakout=False, first_break=False, target=prev_wddrb_lo",12.0,0.0,0.5,1.3249999999999995,-0.19999999999999996,0.11399999999999999,bearish,False,,False,open,0.0,stop,-1.0,stop,-1.0,open,0.0
1742256600,2025-03-18 00:10:00+00:00,2025-03-17 20:10:00-04:00,2025-03-17,AR,short,5729.75,5715.625,5685.25,prev_wddrb_lo,3.150442477876106,1.6266666666666667,"rej_count=5, rej_long_share=0.00, wick=1.00, conf=1.11, p_bias=-0.24, wddrb_bias=0.11, breakout=False, first_break=True, target=prev_wddrb_lo",5.0,0.0,1.0,1.1099999999999985,-0.24,0.11499999999999999,bearish,False,,True,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1740515400,2025-02-25 20:30:00+00:00,2025-02-25 15:30:00-05:00,2025-02-25,RS,short,5984.0,5984.5,5981.1995,daycycle_pct_level,5.6010000000005675,1.5633333333333332,"rej_count=4, rej_long_share=0.00, wick=0.75, conf=2.00, p_bias=0.00, wddrb_bias=0.11, breakout=True, first_break=True, target=daycycle_pct_level",4.0,0.0,0.75,2.0,0.0,0.11499999999999999,bearish,True,short,True,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1738286700,2025-01-31 01:25:00+00:00,2025-01-30 20:25:00-05:00,2025-01-30,AR,short,6108.75,6118.375,6056.5,prev_wddrb_lo,5.428571428571429,1.5453333333333334,"rej_count=10, rej_long_share=0.00, wick=0.40, conf=1.36, p_bias=-0.06, wddrb_bias=0.05, breakout=True, first_break=False, target=prev_wddrb_lo",10.0,0.0,0.4,1.3599999999999985,-0.06000000000000005,0.045999999999999985,bearish,True,,False,stop,-1.0,stop,-1.0,stop,-1.0,open,0.0
1750807800,2025-06-24 23:30:00+00:00,2025-06-24 19:30:00-04:00,2025-06-24,AR,short,6140.5,6144.875,6109.0,prev_wddrb_lo,7.2,1.1373333333333333,"rej_count=10, rej_long_share=0.00, wick=0.70, conf=1.68, p_bias=0.04, wddrb_bias=0.11, breakout=False, first_break=False, target=prev_wddrb_lo",10.0,0.0,0.7,1.6799999999999984,0.040000000000000036,0.11199999999999999,bearish,False,,,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1742427000,2025-03-19 23:30:00+00:00,2025-03-19 19:30:00-04:00,2025-03-19,AR,short,5744.0,5756.5,5675.75,prev_wddrb_lo,5.46,1.06,"rej_count=9, rej_long_share=0.00, wick=0.56, conf=1.11, p_bias=0.04, wddrb_bias=0.11, breakout=False, first_break=False, target=prev_wddrb_lo",9.0,0.0,0.5555555555555556,1.1055555555555545,0.040000000000000036,0.11499999999999999,bearish,False,,,open,0.0,open,0.0,stop,-1.0,open,0.0
