year,n,total_points,total_R,total_dollars
2014,9,33.41539412247994,4.8415148529972605,968.302970599452
2015,15,-41.056696115122804,-2.2687381771460284,-453.7476354292056
2016,13,41.253165344710396,5.718110619025291,1143.6221238050582
2018,14,-37.23715739200816,-4.2980479539131204,-859.6095907826241
2019,42,1.7736191462840942,-1.0085146428067855,-201.70292856135714
2020,113,141.0638264594272,15.280182850307977,3056.0365700615957
2021,67,18.714721082357755,1.9845371863186048,396.90743726372085
2022,101,201.83984253775952,20.770513350101762,4154.102670020352
2023,80,159.762007953811,21.101456138797424,4220.291227759485
2024,88,169.8328046372244,15.278566988922385,3055.7133977844774
2025,71,609.4660063370757,14.36757351520223,2873.514703040446
