setup,r_band,horizon,trades,win_rate,totalR,avgR,trades_win_totalR
percentile_extension,R2_3,1h,184,0.03260869565217391,-74.00457020757015,-0.40219875112809866,-444.0274212454209
percentile_extension,R2_3,2h,184,0.04891304347826087,-87.10767020757007,-0.4734112511280982,-783.9690318681306
percentile_extension,R2_3,4h,184,0.05434782608695652,-119.12690097680081,-0.6474288096565262,-1191.2690097680081
percentile_extension,R2_3,session,184,0.016304347826086956,-77.66307020757031,-0.42208190330201256,-232.98921062271094
percentile_extension,R3_4,1h,113,0.035398230088495575,-45.01745238095251,-0.3983845343447125,-180.06980952381005
percentile_extension,R3_4,2h,113,0.04424778761061947,-55.923952380952564,-0.4949022334597572,-279.6197619047628
percentile_extension,R3_4,4h,113,0.04424778761061947,-68.92395238095256,-0.6099464812473677,-344.61976190476275
percentile_extension,R3_4,session,113,0.02654867256637168,-36.08578571428552,-0.3193432364096064,-108.25735714285656
percentile_extension,R4_5,1h,96,0.0,-55.0,-0.5729166666666666,-0.0
percentile_extension,R4_5,2h,96,0.0,-65.0,-0.6770833333333334,-0.0
percentile_extension,R4_5,4h,96,0.0,-81.0,-0.84375,-0.0
percentile_extension,R4_5,session,96,0.0,-51.0,-0.53125,-0.0
percentile_extension,R5_8,1h,138,0.0,-77.0,-0.5579710144927537,-0.0
percentile_extension,R5_8,2h,138,0.007246376811594203,-91.43960000000007,-0.6626057971014497,-91.43960000000007
percentile_extension,R5_8,4h,138,0.007246376811594203,-117.43960000000007,-0.8510115942028991,-117.43960000000007
percentile_extension,R5_8,session,138,0.0,-79.0,-0.572463768115942,-0.0
percentile_extension,R8_plus,1h,182,0.0,-142.0,-0.7802197802197802,-0.0
percentile_extension,R8_plus,2h,182,0.0,-156.0,-0.8571428571428571,-0.0
percentile_extension,R8_plus,4h,182,0.0,-168.0,-0.9230769230769231,-0.0
percentile_extension,R8_plus,session,182,0.0,-130.0,-0.7142857142857143,-0.0
wddrb_completion,R2_3,1h,413,0.05084745762711865,-115.91190476190476,-0.2806583650409316,-2434.15
wddrb_completion,R2_3,2h,413,0.06053268765133172,-156.71666666666667,-0.3794592413236481,-3917.9166666666665
wddrb_completion,R2_3,4h,413,0.06053268765133172,-233.71666666666667,-0.5658999192897498,-5842.916666666667
wddrb_completion,R2_3,session,413,0.053268765133171914,-170.89708994708994,-0.4137944066515495,-3759.7359788359786
wddrb_completion,R3_4,1h,190,0.02631578947368421,-79.83333333333334,-0.42017543859649126,-399.16666666666674
wddrb_completion,R3_4,2h,190,0.03684210526315789,-98.25,-0.5171052631578947,-687.7499999999999
wddrb_completion,R3_4,4h,190,0.03684210526315789,-125.25000000000001,-0.6592105263157896,-876.75
