session_id,day_date,session,end,action,pred_mu,pred_sigma,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20130103-AR,2013-01-03,AR,2013-01-03 20:25:00-05:00,mid_revert_short,0.7504863142967224,0.0,0.7504863142967224,0.7504863142967224,0.0,0.0,-1,0.0,10.208959880521878,,0.0,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130116-AR,2013-01-16,AR,2013-01-16 20:25:00-05:00,mid_revert_short,0.7886881232261658,0.0,0.7886881232261658,0.7886881232261658,0.0,0.0,-1,0.0,10.223964044805404,,0.0,,,,2009-01-01,2012-12-31,2013-01-01,2013-03-31
ES-20130906-RR,2013-09-06,RR,2013-09-06 10:25:00-04:00,fade_low_long,1.5015451908111572,0.0,1.5015451908111572,1.5015451908111572,0.0,0.0,-1,0.0,1.8949025934901704,,0.0,,,,2009-07-01,2013-06-30,2013-07-01,2013-09-30
ES-20141112-RR,2014-11-12,RR,2014-11-12 10:25:00-05:00,breakout_long,3.8829405307769775,5.2539795824343205,1.2559507395598173,3.8829405307769775,0.25,1.0,1,0.25,7.01286411945184,0.0356487728468267,0.0356487728468267,,12.5,,2010-10-01,2014-09-30,2014-10-01,2014-12-31
ES-20150508-RR,2015-05-08,RR,2015-05-08 10:25:00-04:00,mid_revert_long,0.8924578428268433,0.0,0.8924578428268433,0.8924578428268433,0.0,0.0,-1,0.25,4.416699768164628,,0.0356487728468267,,,,2011-04-01,2015-03-31,2015-04-01,2015-06-30
ES-20151005-RR,2015-10-05,RR,2015-10-05 10:25:00-04:00,mid_revert_long,1.0671062469482422,0.0,1.0671062469482422,1.0671062469482422,0.0,0.0,-1,0.25,4.795076971008409,,0.0356487728468267,,,,2011-10-01,2015-09-30,2015-10-01,2015-12-31
ES-20160711-RR,2016-07-11,RR,2016-07-11 10:25:00-04:00,breakout_long,3.5231447219848633,5.279540558390515,0.8833744427896058,3.5231447219848633,-2.75,1.0,1,-2.5,7.046555709594675,-0.3902615849975566,-0.3546128121507299,,-137.5,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160712-RR,2016-07-12,RR,2016-07-12 10:25:00-04:00,breakout_long,3.46329402923584,5.2945065224632835,0.8160407680041981,3.46329402923584,0.0,1.0,1,-2.5,7.081573568814107,0.0,-0.3546128121507299,,0.0,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20160713-RR,2016-07-13,RR,2016-07-13 10:25:00-04:00,breakout_long,4.484647274017334,6.285087362211822,1.342103592911423,4.484647274017334,0.0,0.0,-1,-2.5,7.1124774534838435,,-0.3546128121507299,,,,2012-07-01,2016-06-30,2016-07-01,2016-09-30
ES-20161128-RR,2016-11-28,RR,2016-11-28 10:25:00-05:00,fade_low_long,3.2454376220703125,4.5337868790852776,0.9785441825276737,3.2454376220703125,-4.556875622952248,1.0,0,-7.056875622952248,4.3068756229520915,-1.0580467192198129,-1.4126595313705428,,-227.8437811476124,,2012-10-01,2016-09-30,2016-10-01,2016-12-31
