ts,timestamp,symbol,session,archetype,direction,entry,stop,target,risk,reward,r_multiple,confidence,reasons,horizon,outcome,exit_price,ambiguous,month
1452526200,2016-01-11 10:30:00,ES,RS,wddrb_sigma_distribution,short,1921.75,1923.75,1903.875,2.0,17.875,8.9375,0.5,['wddrb_mid_sigma'],session,target,1903.875,False,2016-01
1453735800,2016-01-25 10:30:00,ES,RS,wddrb_sigma_distribution,short,1890.75,1892.75,1882.25,2.0,8.5,4.25,0.55,"['wddrb_mid_sigma', 'model_down_bias']",session,target,1882.25,False,2016-01
1451921400,2016-01-04 10:30:00,ES,RS,wddrb_sigma_distribution,short,1991.0,1994.75,1982.25,3.75,8.75,2.3333333333333335,0.55,"['wddrb_mid_sigma', 'model_down_bias']",session,target,1982.25,False,2016-01
1453685400,2016-01-24 20:30:00,ES,AS,cluster_rejection_fade,long,1896.0,1892.75,1902.25,3.25,6.25,1.9230769230769231,0.7000000000000001,"['rejection_bias', 'cluster_confluence', 'model_up_bias', 'cluster_near_darkpool']",session,target,1902.25,False,2016-01
1453685400,2016-01-24 20:30:00,ES,AS,model_forward,long,1896.0,1892.75,1902.25,3.25,6.25,1.9230769230769231,0.7000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_darkpool']",session,target,1902.25,False,2016-01
1453735800,2016-01-25 10:30:00,ES,RS,model_forward,short,1890.75,1895.75,1882.25,5.0,8.5,1.7,0.55,"['model_down_bias', 'model_down_bias']",session,target,1882.25,False,2016-01
1453127400,2016-01-18 09:30:00,ES,RR,wddrb_sigma_distribution,long,1868.75,1866.75,1871.5,2.0,2.75,1.375,0.65,"['wddrb_mid_sigma', 'cluster_near_darkpool']",session,target,1871.5,False,2016-01
1453744800,2016-01-25 13:00:00,ES,RS,wddrb_sigma_distribution,short,1893.25,1888.75,1874.75,4.5,18.5,1.0,0.7000000000000001,"['wddrb_mid_sigma', 'model_down_bias', 'cluster_near_weekly']",session,stop,1888.75,False,2016-01
1453081800,2016-01-17 20:50:00,ES,AS,wddrb_sigma_distribution,short,1878.5,1865.625,1832.875,12.875,45.625,1.0,0.65,"['wddrb_mid_sigma', 'cluster_near_darkpool']",session,stop,1865.625,False,2016-01
1453081800,2016-01-17 20:50:00,ES,AS,cluster_rejection_fade,short,1878.5,1865.625,1832.875,12.875,45.625,1.0,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_darkpool']",session,stop,1865.625,False,2016-01
1453712400,2016-01-25 04:00:00,ES,OS,model_forward,long,1888.5,1892.75,1902.25,4.25,13.75,1.0,0.65,"['model_up_bias', 'model_up_bias']",session,stop,1892.75,False,2016-01
1454290200,2016-01-31 20:30:00,ES,AS,wddrb_sigma_distribution,short,1924.75,1912.625,1873.875,12.125,50.875,1.0,0.65,"['wddrb_mid_sigma', 'cluster_near_darkpool']",session,stop,1912.625,False,2016-01
1454290200,2016-01-31 20:30:00,ES,AS,cluster_rejection_fade,short,1924.75,1912.625,1873.875,12.125,50.875,1.0,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_darkpool']",session,stop,1912.625,False,2016-01
1451917800,2016-01-04 09:30:00,ES,RR,wddrb_sigma_distribution,long,1995.5,1998.0,2001.0,2.5,5.5,1.0,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias']",session,stop,1998.0,False,2016-01
1453080600,2016-01-17 20:30:00,ES,AS,wddrb_sigma_distribution,short,1873.75,1865.625,1832.875,8.125,40.875,1.0,0.6,['wddrb_mid_sigma'],session,stop,1865.625,False,2016-01
1451921400,2016-01-04 10:30:00,ES,RS,model_forward,long,1991.0,1994.75,2001.0,3.75,10.0,1.0,0.55,"['model_up_bias', 'model_up_bias']",session,stop,1994.75,False,2016-01
1451930400,2016-01-04 13:00:00,ES,RS,wddrb_sigma_distribution,short,1994.25,1990.625,1969.875,3.625,24.375,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",session,stop,1990.625,False,2016-01
1451940300,2016-01-04 15:45:00,ES,RS,wddrb_sigma_distribution,short,2000.5,1990.75,1969.75,9.75,30.75,1.0,0.55,"['wddrb_mid_sigma', 'model_down_bias']",session,stop,1990.75,False,2016-01
1452472800,2016-01-10 19:40:00,ES,AR,wddrb_sigma_distribution,long,1902.0,1931.625,1953.25,29.625,51.25,1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",session,stop,1931.625,False,2016-01
1452472800,2016-01-10 19:40:00,ES,AR,model_forward,long,1902.0,1931.625,1953.25,29.625,51.25,1.0,0.55,"['model_up_bias', 'model_up_bias']",session,stop,1931.625,False,2016-01
1452476700,2016-01-10 20:45:00,ES,AS,wddrb_sigma_distribution,long,1899.5,1931.625,1953.25,32.125,53.75,1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",session,stop,1931.625,False,2016-01
1452499200,2016-01-11 03:00:00,ES,OR,wddrb_sigma_distribution,long,1916.75,1931.625,1953.25,14.875,36.5,1.0,0.55,"['wddrb_mid_sigma', 'model_up_bias']",session,stop,1931.625,False,2016-01
1452499200,2016-01-11 03:00:00,ES,OR,model_forward,long,1916.75,1931.625,1953.25,14.875,36.5,1.0,0.55,"['model_up_bias', 'model_up_bias']",session,stop,1931.625,False,2016-01
