p_min,n_trades,avg_R,sum_R,total_points
0.5,541,0.2469363227929447,133.59255063098308,1089.7101919990819
0.55,541,0.2469363227929447,133.59255063098308,1089.7101919990819
0.6,533,0.25395522822899347,135.3581366460535,1119.937649682457
0.65,517,0.25244343462719204,130.51325570225828,1092.7333544783914
0.7,484,0.2239855214106992,108.4089923627784,906.4933442034053
0.75,444,0.1872831722436501,83.15372847618065,695.4492984837998
