name,min_train_rows,trade_sessions,score_mode,ev_min_points,min_risk_pts,target_risk_dollars,total_R,avg_R,max_dd_R,total_dollars,max_dd_dollars,n_entered,profitable_windows,n_test_windows,profitable_windows_frac,RR_sum_R,RR_n,TOUT_sum_R,TOUT_n,AR_sum_R,AR_n
lcb_RR_TOUT_AR_mintrain5000,,"AR,RR,TOUT",lcb,0.75,5.05,200.0,70.36003944744112,0.09431640676600687,-18.35748441575831,14072.007889488224,-3671.496883151658,746,23,55,0.41818181818181815,52.45921550337859,526,15.819209036205255,112,2.0816149078572748,108.0
mean_RR_TOUT_AR_mintrain5000,,"AR,RR,TOUT",mean,0.75,5.05,200.0,80.13538499039669,0.10366802715445884,-24.6784969421473,16027.076998079337,-4935.699388429461,773,22,55,0.4,67.03944868367697,549,15.670594026383657,117,-2.5746577196639273,107.0
lcb_RR_TOUT_mintrain3000,,"RR,TOUT",lcb,0.75,5.05,200.0,84.3948018230173,0.13044018828905302,-15.604161019400198,16878.960364603467,-3120.8322038800397,647,21,55,0.38181818181818183,58.91344421985186,523,25.481357603165463,124,,
lcb_RR_TOUT_AR_mintrain3000,,"AR,RR,TOUT",lcb,0.75,5.05,200.0,70.36003944744112,0.09431640676600687,-18.35748441575831,14072.007889488224,-3671.496883151658,746,23,55,0.41818181818181815,52.45921550337859,526,15.819209036205255,112,2.0816149078572748,108.0
