source,timing_class,n,win,avgR,medR
2011_2016,after_confirm,37.0,0.6486486486486487,4.133558558558558,5.4
2011_2016,other,31.0,0.6451612903225806,3.4749581064097192,4.285714285714286
2011_2016,M7,25.0,0.64,3.706095238095238,4.125
2018,M7,20.0,0.5,3.3103905597326646,0.7142857142857143
2011_2016,frontrun,15.0,0.7333333333333333,4.3094973544973545,4.761904761904762
2018,other,13.0,0.23076923076923078,1.0039136302294198,-1.0
2018,after_confirm,12.0,0.8333333333333334,5.414293345543346,6.232142857142858
2018,frontrun,4.0,0.25,0.7954545454545454,-1.0
