ts,timestamp_ny,session,archetype,direction,entry,stop,target,r_multiple,bias_score,bias_notes,condition,expectation,invalidation,weekly_override,planned_r_multiple,horizon,outcome,exit_price,ambiguous,rej_move_away,rej_retest_count,rej_quality
1739523600,2025-02-14T04:00:00-05:00,OS,after_formed,short,6135.5,6137.5,6129.0185523479095,-1.0,5,"perfect_rej_align,cluster_rej,weekly_rej_resistance,confirm_short,seq_low_holds",perfect rejection + box down,THEN expect rotation toward 6129.02.,"IF price breaks 6137.50, THEN short thesis invalid.",False,3.2407238260452687,2h,stop,6137.5,False,-1.0,2.0,dirty
1739523600,2025-02-14T04:00:00-05:00,OS,after_formed,short,6135.5,6137.5,6129.0185523479095,-1.0,5,"perfect_rej_align,cluster_rej,weekly_rej_resistance,confirm_short,seq_low_holds",perfect rejection + box down,THEN expect rotation toward 6129.02.,"IF price breaks 6137.50, THEN short thesis invalid.",False,3.2407238260452687,4h,stop,6137.5,False,-1.0,2.0,dirty
1739523600,2025-02-14T04:00:00-05:00,OS,after_formed,short,6135.5,6137.5,6129.0185523479095,-1.0,5,"perfect_rej_align,cluster_rej,weekly_rej_resistance,confirm_short,seq_low_holds",perfect rejection + box down,THEN expect rotation toward 6129.02.,"IF price breaks 6137.50, THEN short thesis invalid.",False,3.2407238260452687,session,stop,6137.5,False,-1.0,2.0,dirty
1739457300,2025-02-13T09:35:00-05:00,RR,m7,short,6075.75,6089.5,6048.778146258209,-1.0,4,"cluster_rej,weekly_rej_resistance,confirm_short,seq_low_holds",perfect rejection + box down,THEN expect rotation toward 6048.78.,"IF price breaks 6089.50, THEN short thesis invalid.",False,1.9615893630393575,1h,stop,6089.5,False,2.5,1.0,mixed
1739457300,2025-02-13T09:35:00-05:00,RR,m7,short,6075.75,6089.5,6048.778146258209,-1.0,4,"cluster_rej,weekly_rej_resistance,confirm_short,seq_low_holds",perfect rejection + box down,THEN expect rotation toward 6048.78.,"IF price breaks 6089.50, THEN short thesis invalid.",False,1.9615893630393575,2h,stop,6089.5,False,2.5,1.0,mixed
1739457300,2025-02-13T09:35:00-05:00,RR,m7,short,6075.75,6089.5,6048.778146258209,-1.0,4,"cluster_rej,weekly_rej_resistance,confirm_short,seq_low_holds",perfect rejection + box down,THEN expect rotation toward 6048.78.,"IF price breaks 6089.50, THEN short thesis invalid.",False,1.9615893630393575,4h,stop,6089.5,False,2.5,1.0,mixed
1739457300,2025-02-13T09:35:00-05:00,RR,m7,short,6075.75,6089.5,6048.778146258209,-1.0,4,"cluster_rej,weekly_rej_resistance,confirm_short,seq_low_holds",perfect rejection + box down,THEN expect rotation toward 6048.78.,"IF price breaks 6089.50, THEN short thesis invalid.",False,1.9615893630393575,session,stop,6089.5,False,2.5,1.0,mixed
1739457600,2025-02-13T09:40:00-05:00,RR,m7,short,6082.5,6089.5,6048.778146258209,-1.0,3,"cluster_rej,weekly_rej_resistance,seq_low_holds",perfect rejection + box down,THEN expect rotation toward 6048.78.,"IF price breaks 6089.50, THEN short thesis invalid.",False,4.817407677398738,1h,stop,6089.5,False,5.5,4.0,dirty
1739457600,2025-02-13T09:40:00-05:00,RR,m7,short,6082.5,6089.5,6048.778146258209,-1.0,3,"cluster_rej,weekly_rej_resistance,seq_low_holds",perfect rejection + box down,THEN expect rotation toward 6048.78.,"IF price breaks 6089.50, THEN short thesis invalid.",False,4.817407677398738,2h,stop,6089.5,False,5.5,4.0,dirty
1739457600,2025-02-13T09:40:00-05:00,RR,m7,short,6082.5,6089.5,6048.778146258209,-1.0,3,"cluster_rej,weekly_rej_resistance,seq_low_holds",perfect rejection + box down,THEN expect rotation toward 6048.78.,"IF price breaks 6089.50, THEN short thesis invalid.",False,4.817407677398738,4h,stop,6089.5,False,5.5,4.0,dirty
