range_session,trades,win_rate,avg_r,pct_entry_cluster,pct_perfect_rej,avg_range_p_confirm
RR,338,0.47633136094674555,2.7724646752668516,0.3905325443786982,0.5355029585798816,0.6358284023668639
OR,63,0.3492063492063492,1.8386701702177894,0.3333333333333333,0.5079365079365079,0.631904761904762
RS,27,0.7037037037037037,4.183377425044092,0.3333333333333333,0.8518518518518519,0.5722222222222222
TR,20,0.55,4.657014472455648,0.4,0.6,0.5
AS,19,0.47368421052631576,2.706140350877193,0.5263157894736842,0.9473684210526315,0.47421052631578947
OS,16,0.75,5.0125,0.5625,1.0,0.481875
AR,6,0.8333333333333334,5.738888888888888,0.6666666666666666,0.0,0.4266666666666667
TO,3,0.6666666666666666,5.716666666666666,0.3333333333333333,1.0,0.5
