entry_ts,entry_time,entry_time_et,ny_day,session,setup,direction,entry_price,stop_price,primary_target,primary_reason,r_target,min_stop_pct_24h,hit_1h,r_1h,hit_2h,r_2h,hit_4h,r_4h,hit_session,r_session
1451955600,2016-01-05 01:00:00+00:00,2016-01-04 20:00:00-05:00,2016-01-04,AR,percentile_extension,short,2011.0,2018.53,1980.25,intraday_pct_level,4.083665338645433,0.12,open,0.0,open,0.0,open,0.0,open,0.0
1452026100,2016-01-05 20:35:00+00:00,2016-01-05 15:35:00-05:00,2016-01-05,RS,percentile_extension,short,2007.75,2011.71,1984.825,intraday_pct_level,5.7891414141413495,0.12,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1452232500,2016-01-08 05:55:00+00:00,2016-01-08 00:55:00-05:00,2016-01-08,AS,wddrb_completion,short,1950.0,1958.75,1930.25,prev_wddrb_lo,2.257142857142857,0.12,open,0.0,stop,-1.0,stop,-1.0,open,0.0
1452236400,2016-01-08 07:00:00+00:00,2016-01-08 02:00:00-05:00,2016-01-08,TO,wddrb_completion,short,1956.0,1960.86,1930.25,prev_wddrb_lo,5.2983539094651295,0.12,open,0.0,open,0.0,open,0.0,open,0.0
1452252000,2016-01-08 11:20:00+00:00,2016-01-08 06:20:00-05:00,2016-01-08,OS,wddrb_completion,short,1947.75,1952.61,1930.25,prev_wddrb_lo,3.600823045267564,0.12,open,0.0,open,0.0,stop,-1.0,open,0.0
1453117800,2016-01-18 11:50:00+00:00,2016-01-18 06:50:00-05:00,2016-01-18,OS,percentile_extension,short,1881.75,1886.64,1852.30625,daycycle_pct_level,6.021216768916013,0.12,open,0.0,open,0.0,open,0.0,open,0.0
1453860900,2016-01-27 02:15:00+00:00,2016-01-26 21:15:00-05:00,2016-01-26,AS,asia_rotation,short,1885.25,1891.07,1861.0,asia_low,4.166666666666712,0.12,open,0.0,open,0.0,open,0.0,open,0.0
1454490900,2016-02-03 09:15:00+00:00,2016-02-03 04:15:00-05:00,2016-02-03,OS,wddrb_completion,short,1907.0,1911.71,1889.0,prev_wddrb_lo,3.8216560509553843,0.12,open,0.0,open,0.0,open,0.0,open,0.0
1454554200,2016-02-04 02:50:00+00:00,2016-02-03 21:50:00-05:00,2016-02-03,AS,asia_rotation,short,1918.0,1924.66,1889.75,asia_low,4.24174174174169,0.12,open,0.0,open,0.0,open,0.0,open,0.0
1454584500,2016-02-04 11:15:00+00:00,2016-02-04 06:15:00-05:00,2016-02-04,OS,percentile_extension,short,1913.0,1919.87,1893.625,intraday_pct_level,2.8202328966521555,0.12,open,0.0,open,0.0,tp,2.8202328966521555,open,0.0
