name,min_risk_pts,max_risk_pts,min_pred_R,total_R,avg_R,max_dd_R,n_entered,profitable_windows,n_test_windows,profitable_windows_frac,RR_sum_R,RR_n,TOUT_sum_R,TOUT_n
min0,,,,24.37885447033779,0.024526010533539023,-28.750339989975046,994,25,55,0.45454545454545453,19.205833781795455,649,6.618763538481169,174
min3p28,3.28,,,43.309120602860716,0.048444206490895654,-26.355545983340836,894,25,55,0.45454545454545453,31.743029170072855,592,11.432778179090128,149
min5p05,5.05,,,70.36003944744112,0.09431640676600687,-18.35748441575831,746,23,55,0.41818181818181815,52.45921550337859,526,15.819209036205255,112
min8p28,8.28,,,22.621491850996627,0.04515267834530265,-26.61264076827988,501,16,55,0.2909090909090909,20.320482589358534,359,12.896138578937943,73
min0_max50,,50.0,,21.949437655469442,0.022329031185625067,-28.750339989975046,983,25,55,0.45454545454545453,16.743049602504627,637,6.618763538481169,174
rmin0p10,,,0.1,10.1591239292106,0.011018572591334706,-39.93773521143012,922,23,55,0.41818181818181815,15.173249909323403,612,2.6636024246487415,151
rmin0p15,,,0.15,7.945523443097849,0.01003222656956799,-27.84219065560505,792,27,55,0.4909090909090909,13.802141217632943,532,2.190134580768597,127
rmin0p20,,,0.2,-4.5397425743314646,-0.006765637219569992,-38.702160052933415,671,22,55,0.4,-7.818309800200679,467,-1.179209526223741,98
