entry_ts,entry_time,ny_day,session,direction,entry_price,stop_price,primary_target,primary_reason,hit,r_real,rej_count,rej_long_share,rej_wick_mean,rej_conf_mean,score_long,score_short,signal_score,target_sd_1,target_sd_2,target_sd_3,target_session_max_ext,target_range_max_ext,target_intraday_pct_level,target_daycycle_pct_level,target_asia_high,target_asia_low,target_prev_wddrb_hi,target_prev_wddrb_lo
1750737600,2025-06-24 00:00:00-04:00,2025-06-24,AS,long,6111.75,6106.75,6111.655263157894,range_max_ext_sd,target,-0.01894736842114071,24.0,0.6666666666666666,0.5416666666666666,1.4416666666666667,2.3,-2.3,2.62625,6111.276315789473,6110.8026315789475,6110.328947368421,6111.301246537396,6111.655263157894,6121.654109160656,,6116.5,6000.5,6071.0,6003.25
1738306500,2025-01-31 01:55:00-05:00,2025-01-31,AS,long,6118.0,6112.75,6118.0,range_max_ext_sd,session_close,0.0,18.0,0.6666666666666666,0.5,1.6055555555555565,2.26,-2.26,2.5402777777777774,6118.0,6118.0,6118.0,6118.0,6118.0,,6143.275211163402,6119.75,6111.75,6091.25,6042.25
1747626300,2025-05-18 23:45:00-04:00,2025-05-18,AS,short,5912.0,5928.75,5912.2444,range_max_ext_sd,target,-0.01459104477609473,9.0,0.1111111111111111,0.6666666666666666,1.8222222222222237,-2.1,2.1,2.3327777777777783,5912.626666666667,5913.253333333333,5913.88,5912.576533333333,5912.2444,,,5935.5,5912.5,,
1739941200,2025-02-19 00:00:00-05:00,2025-02-19,AS,long,6152.75,6152.25,6153.12125,range_max_ext_sd,stop,-1.0,12.0,0.6666666666666666,0.6666666666666666,1.4083333333333357,2.06,-2.06,2.2970833333333336,6153.875,6155.0,6156.125,6153.171875,6153.12125,,6166.021492245695,6157.0,6143.0,6147.0,6136.25
1736917500,2025-01-15 00:05:00-05:00,2025-01-15,AS,short,5883.5,5884.75,5883.25,range_max_ext_sd,target,0.2,25.0,0.32,0.52,1.37,-1.8559999999999999,1.8559999999999999,2.1848333333333336,5882.5,5881.5,5880.5,5882.346153846154,5883.25,,5834.937133944487,5884.25,5881.5,5878.25,5813.0
1737696000,2025-01-24 00:20:00-05:00,2025-01-24,AS,long,6146.75,6145.0,6146.91,range_max_ext_sd,target,0.09142857142848827,20.0,0.65,0.5,1.465,1.86,-1.86,2.1499166666666665,6146.95,6147.15,6147.35,6147.083333333333,6146.91,,6149.64002207325,6147.5,6145.75,6135.75,6111.25
1742432400,2025-03-19 21:00:00-04:00,2025-03-19,AS,long,5750.25,5748.75,5750.350833333333,range_max_ext_sd,target,0.0672222222219716,19.0,0.8421052631578947,0.5263157894736842,1.7789473684210535,1.701,-1.701,2.0009122807017543,5751.166666666667,5752.083333333333,5753.0,5750.670138888889,5750.350833333333,5761.699993391925,,5752.75,5673.25,5759.75,5685.25
1738897500,2025-02-06 22:05:00-05:00,2025-02-06,AS,long,6106.75,6104.0,6106.827368421053,range_max_ext_sd,stop,-1.0,38.0,0.7894736842105263,0.5,1.8434210526315795,1.5230000000000001,-1.5230000000000001,1.981837719298246,6107.118421052632,6107.486842105263,6107.855263157895,6107.021468144045,6106.827368421053,,6119.027574887155,6108.25,6097.75,6068.75,6018.0
1753317900,2025-07-23 20:45:00-04:00,2025-07-23,AS,long,6403.75,6402.5,6403.75,range_max_ext_sd,stop_first,-1.0,12.0,0.6666666666666666,0.5,1.6458333333333333,1.653,-1.653,1.8852916666666668,6404.321428571428,6404.892857142857,6405.464285714285,6403.75,6403.75,6417.636360061347,,6404.5,6357.5,6374.0,6341.0
1752804900,2025-07-17 22:15:00-04:00,2025-07-17,AS,long,6346.0,6344.5,6346.0,range_max_ext_sd,target,0.0,14.0,0.7142857142857143,0.5,1.5035714285714286,1.608,-1.608,1.8498452380952384,6346.578947368421,6347.1578947368425,6347.736842105263,6346.0,6346.0,6371.96689044252,,6348.75,6290.75,6341.75,6282.0
1736387400,2025-01-08 20:50:00-05:00,2025-01-08,AS,long,5945.5,5944.875,5945.5,range_max_ext_sd,stop_first,-1.0,9.0,0.6666666666666666,0.5555555555555556,1.7333333333333334,1.5810000000000002,-1.5810000000000002,1.7982222222222224,5946.240740740741,5946.981481481482,5947.722222222223,5945.5,5945.5,,5971.6176408923175,5972.5,5944.75,6068.25,6004.0
1737535800,2025-01-22 03:50:00-05:00,2025-01-22,OR,long,6108.75,6098.5,6109.442307692308,range_max_ext_sd,target,0.06754221388367047,20.0,0.9,0.5,1.6849999999999998,1.44,-1.44,1.7409166666666667,6110.134615384615,6111.5192307692305,6112.903846153846,6108.75,6109.442307692308,,6144.507504768224,6104.25,6098.75,6078.25,6036.5
1740371700,2025-02-23 23:35:00-05:00,2025-02-23,AS,long,6058.75,6056.25,6058.107142857143,range_max_ext_sd,target,-0.2571428571427532,20.0,0.65,0.5,1.2575000000000016,1.456,-1.456,1.7355416666666668,6057.464285714285,6056.178571428572,6054.892857142857,6057.464285714285,6058.107142857143,,,6060.25,6047.25,,
1739856300,2025-02-18 00:25:00-05:00,2025-02-18,AS,long,6144.0,6143.5,6144.19076923077,range_max_ext_sd,target,0.381538461539094,9.0,1.0,0.7777777777777778,2.000000000000003,1.482,-1.482,1.7347777777777778,6144.615384615385,6145.2307692307695,6145.846153846154,6144.5207100591715,6144.19076923077,,6156.016042617341,6145.75,6143.75,6145.25,6125.75
1750845900,2025-06-25 06:05:00-04:00,2025-06-25,OS,long,6143.0,6143.5,6143.047058823529,range_max_ext_sd,stop_first,-1.0,16.0,0.75,0.5,1.68125,1.438,-1.438,1.7053958333333332,6143.235294117647,6143.470588235294,6143.705882352941,6143.110726643598,6143.047058823529,6191.535737743118,,6149.75,6143.25,6081.5,5993.25
1739849400,2025-02-17 22:30:00-05:00,2025-02-17,AS,long,6145.5,6143.0,6145.653846153846,range_max_ext_sd,target,0.061538461538293635,11.0,0.8181818181818182,0.5454545454545454,1.5000000000000027,1.482,-1.482,1.7032121212121212,6146.115384615385,6146.7307692307695,6147.346153846154,6145.973372781065,6145.653846153846,,6155.264667535855,6146.5,6141.5,6145.25,6125.75
1737536400,2025-01-22 04:00:00-05:00,2025-01-22,OS,long,6109.25,6101.0,6109.25,range_max_ext_sd,target,0.0,9.0,0.8888888888888888,0.5555555555555556,1.2999999999999998,1.44,-1.44,1.6355555555555554,6110.5948275862065,6111.939655172414,6113.2844827586205,6109.25,6109.25,6149.942975247922,6144.507504768224,6104.25,6098.75,6078.25,6036.5
1739782800,2025-02-17 04:00:00-05:00,2025-02-17,OS,long,6138.25,6137.625,6138.25,range_max_ext_sd,target,0.0,48.0,0.8333333333333334,0.5208333333333334,1.552083333333334,0.9800000000000001,-0.9800000000000001,1.5096875,6137.983333333334,6137.716666666666,6137.45,6138.25,6138.25,,,6146.5,6143.25,6145.25,6125.75
1742209200,2025-03-17 07:00:00-04:00,2025-03-17,OS,long,5685.25,5665.0,5685.578,range_max_ext_sd,target,0.01619753086421873,10.0,0.8,0.5,1.435000000000002,1.303,-1.303,1.5080833333333334,5685.65,5686.05,5686.45,5686.347142857143,5685.578,5667.3755105194605,,5665.25,5660.25,5700.75,5618.0
1752540600,2025-07-14 20:50:00-04:00,2025-07-14,AS,long,6303.0,6302.0,6303.0,range_max_ext_sd,target,0.0,24.0,0.6666666666666666,0.6666666666666666,1.875,1.145,-1.145,1.5054166666666666,6303.5625,6304.125,6304.6875,6303.0,6303.0,6325.443215780036,,6304.5,6263.75,6312.75,6278.5
1753686000,2025-07-28 03:00:00-04:00,2025-07-28,OR,long,6450.5,6449.25,6452.375,breakout_median,stop,-1.0,11.0,0.7272727272727273,0.6363636363636364,1.7318181818181821,1.227,-1.227,1.4688939393939395,,,,,,,,6456.25,6451.0,6431.0,6402.5
1749194700,2025-06-06 03:25:00-04:00,2025-06-06,OR,short,5968.25,5975.0,5968.618421052632,range_max_ext_sd,target,-0.054580896686174024,8.0,0.25,0.5,1.3687500000000001,-1.2099999999999997,1.2099999999999997,1.3951041666666664,5968.986842105263,5969.723684210527,5970.460526315789,5968.25,5968.618421052632,5969.863841713378,,5970.75,5958.0,5999.0,5974.25
1751639700,2025-07-04 10:35:00-04:00,2025-07-04,RS,long,6291.75,6280.25,6291.761515151516,range_max_ext_sd,target,0.001001317523095286,16.0,0.875,0.5,1.25625,1.133,-1.133,1.3791458333333333,6292.325757575758,6292.901515151515,6293.477272727273,6291.959366391185,6291.761515151516,,,6309.5,6303.5,6276.5,6238.25
1739755800,2025-02-16 20:30:00-05:00,2025-02-16,AS,long,6140.0,6138.5,6140.0,range_max_ext_sd,target,0.0,8.0,0.875,0.75,2.0000000000000036,1.134,-1.134,1.3756666666666666,6140.772727272727,6141.545454545455,6142.318181818182,6140.0,6140.0,,,,,,
