setup,r_band,horizon,trades,win_rate,totalR,avgR,trades_win_totalR
percentile_extension,R2_3,1h,284,0.01056338028169014,-15.677988643623536,-0.05520418536487161,-47.03396593087061
percentile_extension,R2_3,2h,284,0.03169014084507042,-17.328716788620877,-0.06101660841063689,-155.9584510975879
percentile_extension,R2_3,4h,284,0.06690140845070422,-17.340597712905396,-0.06105844265107534,-329.4713565452025
percentile_extension,R2_3,session,284,0.03169014084507042,-3.9454458268213948,-0.013892414883173925,-35.50901244139256
percentile_extension,R3_4,1h,171,0.005847953216374269,-15.694308943089247,-0.09177958446251022,-15.694308943089247
percentile_extension,R3_4,2h,171,0.011695906432748537,-21.96559099437109,-0.1284537485050941,-43.93118198874218
percentile_extension,R3_4,4h,171,0.023391812865497075,-27.605155508492945,-0.1614336579444032,-110.42062203397178
percentile_extension,R3_4,session,171,0.0,-24.0,-0.14035087719298245,-0.0
percentile_extension,R4_5,1h,93,0.0,-5.0,-0.053763440860215055,-0.0
percentile_extension,R4_5,2h,93,0.0,-10.0,-0.10752688172043011,-0.0
percentile_extension,R4_5,4h,93,0.0,-19.0,-0.20430107526881722,-0.0
percentile_extension,R4_5,session,93,0.0,-10.0,-0.10752688172043011,-0.0
percentile_extension,R5_8,1h,37,0.0,-2.0,-0.05405405405405406,-0.0
percentile_extension,R5_8,2h,37,0.0,-3.0,-0.08108108108108109,-0.0
percentile_extension,R5_8,4h,37,0.0,-4.0,-0.10810810810810811,-0.0
percentile_extension,R5_8,session,37,0.0,-2.0,-0.05405405405405406,-0.0
wddrb_completion,R2_3,1h,483,0.022774327122153208,-23.083770667212903,-0.04779248585344286,-253.92147733934195
wddrb_completion,R2_3,2h,483,0.037267080745341616,-45.904003786278935,-0.0950393453132069,-826.2720681530209
wddrb_completion,R2_3,4h,483,0.06418219461697723,-72.97358313984223,-0.15108402306385554,-2262.1810773351094
wddrb_completion,R2_3,session,483,0.055900621118012424,-37.18459031414117,-0.0769867294288637,-1003.9839384818115
wddrb_completion,R3_4,1h,152,0.0,-12.0,-0.07894736842105263,-0.0
wddrb_completion,R3_4,2h,152,0.006578947368421052,-21.170212765957054,-0.13927771556550694,-21.170212765957054
wddrb_completion,R3_4,4h,152,0.02631578947368421,-27.442291916256018,-0.18054139418589485,-109.76916766502407
wddrb_completion,R3_4,session,152,0.019736842105263157,-24.1479076479077,-0.158867813473077,-72.4437229437231
wddrb_completion,R4_5,1h,93,0.010752688172043012,-7.34591194968596,-0.07898830053425764,-7.34591194968596
wddrb_completion,R4_5,2h,93,0.010752688172043012,-13.34591194968596,-0.14350442956651568,-13.34591194968596
wddrb_completion,R4_5,4h,93,0.03225806451612903,-13.86834784712145,-0.14912201986152096,-41.60504354136435
wddrb_completion,R4_5,session,93,0.010752688172043012,-10.11111111111111,-0.1087216248506571,-10.11111111111111
wddrb_completion,R5_8,1h,30,0.0,-7.0,-0.23333333333333334,-0.0
wddrb_completion,R5_8,2h,30,0.0,-9.0,-0.3,-0.0
wddrb_completion,R5_8,4h,30,0.0,-12.0,-0.4,-0.0
wddrb_completion,R5_8,session,30,0.03333333333333333,-2.968553459119957,-0.09895178197066525,-2.968553459119957
asia_rotation,R2_3,1h,171,0.005847953216374269,-6.910447761193879,-0.04041197521166011,-6.910447761193879
asia_rotation,R2_3,2h,171,0.03508771929824561,-6.502465758569899,-0.038026115547192395,-39.0147945514194
asia_rotation,R2_3,4h,171,0.07602339181286549,-8.56932310456872,-0.050113000611512984,-111.40120035939337
asia_rotation,R2_3,session,171,0.04093567251461988,-12.428391684494827,-0.07268065312570074,-86.99874179146379
asia_rotation,R3_4,1h,120,0.0,-5.0,-0.041666666666666664,-0.0
asia_rotation,R3_4,2h,120,0.0,-11.0,-0.09166666666666666,-0.0
asia_rotation,R3_4,4h,120,0.0,-20.0,-0.16666666666666666,-0.0
asia_rotation,R3_4,session,120,0.0,-16.0,-0.13333333333333333,-0.0
asia_rotation,R4_5,1h,130,0.007692307692307693,0.5878136200714454,0.004521643231318811,0.5878136200714454
asia_rotation,R4_5,2h,130,0.007692307692307693,-4.412186379928555,-0.033939895230219654,-4.412186379928555
asia_rotation,R4_5,4h,130,0.015384615384615385,-4.9990408400223005,-0.038454160307863854,-9.998081680044601
asia_rotation,R4_5,session,130,0.015384615384615385,-0.9990408400222996,-0.007684929538633074,-1.9980816800445993
asia_rotation,R5_8,1h,165,0.0,-4.0,-0.024242424242424242,-0.0
asia_rotation,R5_8,2h,165,0.0,-10.0,-0.06060606060606061,-0.0
asia_rotation,R5_8,4h,165,0.0,-17.0,-0.10303030303030303,-0.0
asia_rotation,R5_8,session,165,0.0,-10.0,-0.06060606060606061,-0.0
breakout_continuation,R2_3,1h,37,0.0,-10.0,-0.2702702702702703,-0.0
breakout_continuation,R2_3,2h,37,0.08108108108108109,-6.368140868140163,-0.17211191535513953,-19.10442260442049
breakout_continuation,R2_3,4h,37,0.1891891891891892,0.7423400487928222,0.020063244561968167,5.196380341549755
breakout_continuation,R2_3,session,37,0.1891891891891892,3.817995624447816,0.10318907093102206,26.72596937113471
breakout_continuation,R3_4,1h,13,0.0,0.0,0.0,0.0
breakout_continuation,R3_4,2h,13,0.0,-3.0,-0.23076923076923078,-0.0
breakout_continuation,R3_4,4h,13,0.15384615384615385,2.63457929044136,0.20265994541856613,5.26915858088272
breakout_continuation,R3_4,session,13,0.07692307692307693,-0.494747474747415,-0.038057498057493463,-0.494747474747415
breakout_continuation,R4_5,1h,3,0.0,-1.0,-0.3333333333333333,-0.0
breakout_continuation,R4_5,2h,3,0.0,-1.0,-0.3333333333333333,-0.0
breakout_continuation,R4_5,4h,3,0.0,-1.0,-0.3333333333333333,-0.0
breakout_continuation,R4_5,session,3,0.0,-2.0,-0.6666666666666666,-0.0
breakout_continuation,R5_8,1h,2,0.0,0.0,0.0,0.0
breakout_continuation,R5_8,2h,2,0.0,0.0,0.0,0.0
breakout_continuation,R5_8,4h,2,0.0,0.0,0.0,0.0
breakout_continuation,R5_8,session,2,0.0,0.0,0.0,0.0
