entry_ts,entry_time,ny_day,session,direction,entry_price,stop_price,primary_target,primary_reason,hit,r_real,rej_count,rej_long_share,rej_wick_mean,rej_conf_mean,score_long,score_short,signal_score,pct_target,target_sd_1,target_sd_2,target_sd_3,target_session_max_ext,target_intraday_pct_level,target_daycycle_pct_level,target_asia_high,target_asia_low,target_prev_wddrb_hi,target_prev_wddrb_lo
1750737600,2025-06-24 00:00:00-04:00,2025-06-24,AS,long,6111.75,6106.75,6113.171052631579,sd_level_vs_pct,stop,-1.0,24.0,0.6666666666666666,0.5416666666666666,1.4416666666666667,2.3,-2.3,2.62625,6121.654109160656,6112.223684210527,6112.6973684210525,6113.171052631579,6112.198753462604,6121.654109160656,,6116.5,6000.5,6071.0,6003.25
1747626300,2025-05-18 23:45:00-04:00,2025-05-18,AS,short,5912.0,5928.75,5911.423466666667,session_max_ext_sd,target,0.03441990049748765,9.0,0.1111111111111111,0.6666666666666666,1.8222222222222237,-2.1,2.1,2.3327777777777783,,5911.373333333333,5910.746666666667,5910.12,5911.423466666667,,,5935.5,5912.5,,
1739941200,2025-02-19 00:00:00-05:00,2025-02-19,AS,long,6152.75,6152.25,6156.125,sd_level_vs_pct,stop,-1.0,12.0,0.6666666666666666,0.6666666666666666,1.4083333333333357,2.06,-2.06,2.2970833333333336,6166.021492245695,6153.875,6155.0,6156.125,6153.171875,,6166.021492245695,6157.0,6143.0,6147.0,6136.25
1736917500,2025-01-15 00:05:00-05:00,2025-01-15,AS,short,5883.5,5884.75,5880.5,sd_level_vs_pct,stop,-1.0,25.0,0.32,0.52,1.37,-1.8559999999999999,1.8559999999999999,2.1848333333333336,5834.937133944487,5882.5,5881.5,5880.5,5882.346153846154,,5834.937133944487,5884.25,5881.5,5878.25,5813.0
1737696000,2025-01-24 00:20:00-05:00,2025-01-24,AS,long,6146.75,6145.0,6147.35,sd_level_vs_pct,target,0.34285714285735075,20.0,0.65,0.5,1.465,1.86,-1.86,2.1499166666666665,6149.64002207325,6146.95,6147.15,6147.35,6147.083333333333,,6149.64002207325,6147.5,6145.75,6135.75,6111.25
1742432400,2025-03-19 21:00:00-04:00,2025-03-19,AS,long,5750.25,5748.75,5753.0,sd_level_vs_pct,stop,-1.0,19.0,0.8421052631578947,0.5263157894736842,1.7789473684210535,1.701,-1.701,2.0009122807017543,5761.699993391925,5751.166666666667,5752.083333333333,5753.0,5750.670138888889,5761.699993391925,,5752.75,5673.25,5759.75,5685.25
1738897500,2025-02-06 22:05:00-05:00,2025-02-06,AS,long,6106.75,6104.0,6107.855263157895,sd_level_vs_pct,stop,-1.0,38.0,0.7894736842105263,0.5,1.8434210526315795,1.5230000000000001,-1.5230000000000001,1.981837719298246,6119.027574887155,6107.118421052632,6107.486842105263,6107.855263157895,6107.021468144045,,6119.027574887155,6108.25,6097.75,6068.75,6018.0
1753317900,2025-07-23 20:45:00-04:00,2025-07-23,AS,long,6403.75,6402.5,6405.464285714285,sd_level_vs_pct,stop,-1.0,12.0,0.6666666666666666,0.5,1.6458333333333333,1.653,-1.653,1.8852916666666668,6417.636360061347,6404.321428571428,6404.892857142857,6405.464285714285,6403.75,6417.636360061347,,6404.5,6357.5,6374.0,6341.0
1752804900,2025-07-17 22:15:00-04:00,2025-07-17,AS,long,6346.0,6344.5,6347.736842105263,sd_level_vs_pct,target,1.157894736842233,14.0,0.7142857142857143,0.5,1.5035714285714286,1.608,-1.608,1.8498452380952384,6371.96689044252,6346.578947368421,6347.1578947368425,6347.736842105263,6346.0,6371.96689044252,,6348.75,6290.75,6341.75,6282.0
1736387400,2025-01-08 20:50:00-05:00,2025-01-08,AS,long,5945.5,5944.875,5947.722222222223,sd_level_vs_pct,stop,-1.0,9.0,0.6666666666666666,0.5555555555555556,1.7333333333333334,1.5810000000000002,-1.5810000000000002,1.7982222222222224,5971.6176408923175,5946.240740740741,5946.981481481482,5947.722222222223,5945.5,,5971.6176408923175,5972.5,5944.75,6068.25,6004.0
