symbol,day_date,session,session_id,next_session_id,entry_ts,direction,entry,exit_ts,exit,exit_reason,prior_range_sd,stop_dist,tp_dist,p_up,p_dn,ev_long,ev_short,pnl_points,pnl_R,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
CME_MINI_ES1!,2025-09-30,AR,CME_MINI_ES1!-20250930-AR,CME_MINI_ES1!-20250930-AS,2025-09-30 20:25:00-04:00,short,6715.5,2025-09-30 22:30:00-04:00,6710.765524851242,tp,3.156316765838909,3.156316765838909,4.734475148758364,0.21252262836814953,0.7718767070101533,-0.4686934290796262,0.9296917675253833,4.484475148758065,1.4207937546997595,4.484475148758065,2025-08-01,2025-09-30,2025-10-01,2025-10-31
CME_MINI_ES1!,2025-09-30,TO,CME_MINI_ES1!-20250930-TO,CME_MINI_ES1!-20250930-OR,2025-10-01 02:55:00-04:00,short,6685.75,2025-10-01 03:00:00-04:00,6688.353641175051,stop_ambiguous,2.603641175051019,2.603641175051019,3.905461762576529,0.1674463086365996,0.8298738899563587,-0.581384228408501,1.0746847248908968,-2.8536411750510524,-1.0960193756327172,1.6308339737070128,2025-08-01,2025-09-30,2025-10-01,2025-10-31
CME_MINI_ES1!,2025-09-30,OR,CME_MINI_ES1!-20250930-OR,CME_MINI_ES1!-20250930-OS,2025-10-01 03:55:00-04:00,long,6687.75,2025-10-01 04:00:00-04:00,6684.19047330911,stop,3.5595266908899403,3.5595266908899403,5.33929003633491,0.6366641726229537,0.1421863629358679,0.5916604315573842,-0.6445340926603302,-3.8095266908903795,-1.0702340568593784,-2.1786927171833668,2025-08-01,2025-09-30,2025-10-01,2025-10-31
CME_MINI_ES1!,2025-09-30,OS,CME_MINI_ES1!-20250930-OS,CME_MINI_ES1!-20250930-TR,2025-10-01 08:25:00-04:00,long,6710.5,2025-10-01 09:20:00-04:00,6710.0,timeout,6.293584870828054,6.293584870828054,9.44037730624208,0.666856970337856,0.10494071565405394,0.6671424258446399,-0.7376482108648652,-0.75,-0.11916896576327915,-2.9286927171833668,2025-08-01,2025-09-30,2025-10-01,2025-10-31
CME_MINI_ES1!,2025-09-30,TR,CME_MINI_ES1!-20250930-TR,CME_MINI_ES1!-20251001-RR,2025-10-01 09:25:00-04:00,short,6710.0,2025-10-01 09:30:00-04:00,6719.773243212708,stop,9.773243212707685,9.773243212707685,14.659864819061529,0.6412053417299093,0.8861317350645809,0.6030133543247732,1.2153293376614522,-10.023243212707712,-1.025580044879571,-12.951935929891079,2025-08-01,2025-09-30,2025-10-01,2025-10-31
CME_MINI_ES1!,2025-10-01,RR,CME_MINI_ES1!-20251001-RR,CME_MINI_ES1!-20251001-RS,2025-10-01 10:25:00-04:00,long,6728.0,2025-10-01 11:45:00-04:00,6746.538521194855,tp,12.359014129903642,12.359014129903642,18.538521194855463,0.972953402308722,0.23543847084010713,1.432383505771805,-0.41140382289973215,18.288521194855093,1.4797718493261145,5.336585264964015,2025-08-01,2025-09-30,2025-10-01,2025-10-31
CME_MINI_ES1!,2025-10-01,RS,CME_MINI_ES1!-20251001-RS,CME_MINI_ES1!-20251001-TOUT,2025-10-01 15:55:00-04:00,long,6762.5,2025-10-01 16:55:00-04:00,6757.0,timeout,13.515409090913113,13.515409090913113,20.273113636369672,0.5566088316445729,0.16336054231484953,0.3915220791114321,-0.5915986442128762,-5.75,-0.42544032232556894,-0.41341473503598536,2025-08-01,2025-09-30,2025-10-01,2025-10-31
CME_MINI_ES1!,2025-10-01,TOUT,CME_MINI_ES1!-20251001-TOUT,CME_MINI_ES1!-20251001-TA,2025-10-01 17:55:00-04:00,short,6757.0,2025-10-01 19:15:00-04:00,6760.971506243493,stop,3.971506243493174,3.971506243493174,5.957259365239761,0.39003586864604506,0.6174345796244755,-0.02491032838488738,0.5435864490611887,-4.2215062434934225,-1.0629484091608425,-4.634920978529408,2025-08-01,2025-09-30,2025-10-01,2025-10-31
CME_MINI_ES1!,2025-10-01,TA,CME_MINI_ES1!-20251001-TA,CME_MINI_ES1!-20251001-AR,2025-10-01 19:25:00-04:00,long,6761.25,2025-10-01 19:35:00-04:00,6756.517779118249,stop,4.732220881751424,4.732220881751424,7.098331322627136,0.9224172021630385,0.24016738053478012,1.306043005407596,-0.3995815486630497,-4.982220881751346,-1.0528293176178614,-9.617141860280753,2025-08-01,2025-09-30,2025-10-01,2025-10-31
CME_MINI_ES1!,2025-10-01,AR,CME_MINI_ES1!-20251001-AR,CME_MINI_ES1!-20251001-AS,2025-10-01 20:25:00-04:00,long,6764.0,2025-10-01 20:50:00-04:00,6768.945504836931,tp,3.2970032246204877,3.2970032246204877,4.9455048369307315,0.9472286440232563,0.35596342470321085,1.368071610058141,-0.11009143824197287,4.6955048369309225,1.4241735652143361,-4.921637023349831,2025-08-01,2025-09-30,2025-10-01,2025-10-31
