entry_ts,entry_time,entry_time_et,ny_day,session,direction,entry_price,stop_price,primary_target,primary_reason,r_target,pred_win_prob,expected_r,rej_count,rej_long_share,rej_wick_mean,rej_conf_mean,p_bias,rej_24h_orientation,current_session_break_out,first_break_true,dist_cluster_darkpool,dist_cluster_weekly,dist_cluster_monthly,target_sd_1,target_sd_2,target_sd_3,target_session_max_ext,target_intraday_pct_level,target_daycycle_pct_level,target_prev_wddrb_hi,target_prev_wddrb_lo,hit_1h,r_1h,hit_2h,r_2h,hit_4h,r_4h,hit_session,r_session
1749707400,2025-06-12 05:50:00+00:00,2025-06-12 01:50:00-04:00,2025-06-12,AS,short,6012.25,6011.5,6006.25,prev_wddrb_lo,8.0,0.9990152285412135,7.9911370568709215,14.0,0.0,0.21428571428571427,1.1428571428571404,-0.040000000000000036,bearish,True,False,,,,6011.797619047619,6011.3452380952385,6010.892857142857,6011.582199546485,6025.023092596785,,6064.75,6006.25,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1741839900,2025-03-13 04:25:00+00:00,2025-03-13 00:25:00-04:00,2025-03-13,AS,short,5587.5,5582.75,5550.25,prev_wddrb_lo,7.842105263157895,0.9993593602038521,7.8364406586445865,16.0,0.0,0.25,1.2093749999999996,-0.6799999999999999,bearish,True,False,,,,5587.142857142857,5586.785714285715,5586.428571428572,5586.058673469388,5575.386404799638,,5645.0,5550.25,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1746492900,2025-05-06 00:55:00+00:00,2025-05-05 20:55:00-04:00,2025-05-05,AS,short,5665.25,5664.0,5655.25,prev_wddrb_lo,8.0,0.9738084302519511,7.76427587226756,35.0,0.0,0.3142857142857143,1.7185714285714284,-0.13999999999999996,bearish,False,False,,,,5664.830645161291,5664.4112903225805,5663.991935483871,5665.25,5692.8447475662215,,5706.25,5655.25,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1738814700,2025-02-06 04:05:00+00:00,2025-02-05 23:05:00-05:00,2025-02-05,AS,short,6095.25,6103.75,6029.5,prev_wddrb_lo,7.735294117647059,0.9998843073985642,7.734283508746281,45.0,0.0,0.2,1.6711111111111108,-0.48,bearish,False,True,,,,6094.431818181818,6093.613636363636,6092.795454545455,6095.25,,6071.5145,6088.5,6029.5,open,0.0,open,0.0,open,0.0,stop,-1.0
1739337600,2025-02-12 05:20:00+00:00,2025-02-12 00:20:00-05:00,2025-02-12,AS,short,6086.25,6084.25,6070.911,daycycle_pct_level,7.669499999999971,0.9990251525387167,7.661048559934375,55.0,0.0,0.21818181818181817,1.5318181818181815,-0.34,bearish,True,False,,,,6085.659090909091,6085.068181818182,6084.477272727273,6085.712809917355,,6070.911,6098.75,6064.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1750722600,2025-06-23 23:50:00+00:00,2025-06-23 19:50:00-04:00,2025-06-23,AR,short,6109.5,6113.25,6081.5,prev_wddrb_hi,7.466666666666667,0.9997953787180087,7.464934206479141,27.0,0.0,0.5555555555555556,1.4407407407407402,-0.13999999999999996,bearish,False,True,,,,6109.4473684210525,6109.394736842105,6109.3421052631575,6109.5,,,6081.5,5993.25,open,0.0,stop,-1.0,stop,-1.0,stop,-1.0
1740558300,2025-02-26 08:25:00+00:00,2025-02-26 03:25:00-05:00,2025-02-26,OR,short,5991.75,6001.0,5924.0,prev_wddrb_lo,7.324324324324325,0.9984277220423442,7.311236172676812,13.0,0.0,0.5384615384615384,1.15,-0.37999999999999995,bearish,False,True,,,,5991.15,5990.55,5989.95,5991.75,,5980.0405,6007.75,5924.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1740546300,2025-02-26 05:05:00+00:00,2025-02-26 00:05:00-05:00,2025-02-26,AS,short,5991.5,6001.0,5924.0,prev_wddrb_lo,7.105263157894737,0.9980683022985403,7.089606239682905,13.0,0.0,0.3076923076923077,1.169230769230769,-0.020000000000000018,bearish,True,False,,,,5990.944444444444,5990.388888888889,5989.833333333333,5990.697530864198,,5981.9785,6007.75,5924.0,open,0.0,open,0.0,open,0.0,stop,-1.0
1737018300,2025-01-16 09:05:00+00:00,2025-01-16 04:05:00-05:00,2025-01-16,OS,short,6007.25,5999.5,5952.5,prev_wddrb_lo,7.064516129032258,0.9999280174452005,7.063935624558069,44.0,0.0,0.22727272727272727,1.7556818181818181,-0.6200000000000001,bearish,True,True,,,,6005.815217391304,6004.380434782609,6002.945652173913,6006.376654064272,6017.5,5896.1515,6001.25,5952.5,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1750837200,2025-06-25 07:40:00+00:00,2025-06-25 03:40:00-04:00,2025-06-25,OR,short,6144.25,6149.25,6109.0,prev_wddrb_lo,7.05,0.9990555094650542,7.042396851193686,14.0,0.0,0.42857142857142855,1.6142857142857134,-0.30000000000000004,bearish,False,False,,,,6143.955882352941,6143.661764705882,6143.367647058823,6144.25,6146.59647118558,,6155.25,6109.0,open,0.0,stop,-1.0,stop,-1.0,stop,-1.0
1753141200,2025-07-21 23:40:00+00:00,2025-07-21 19:40:00-04:00,2025-07-21,AR,short,6348.0,6349.0,6341.0,prev_wddrb_lo,7.0,0.9997808338082138,6.9982466704657105,28.0,0.0,0.4642857142857143,1.821428571428571,-0.13999999999999996,bearish,False,True,,,,6347.5,6347.0,6346.5,6348.0,,,6374.0,6341.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
