min_planned_r,quality,archetypes,bias_score_min,trades,months,trades_per_month,median_trades_per_month,win_rate,stop_rate,timeout_rate,total_r,avg_r
1.5,all,all+frontrun,1,420.0,7.0,60.0,58.0,0.10714285714285714,0.5285714285714286,0.30952380952380953,-28.151083950238355,-0.06702639035771037
1.5,all,all+frontrun,2,380.0,7.0,54.285714285714285,46.0,0.11052631578947368,0.5078947368421053,0.33157894736842103,-11.301669433845255,-0.029741235352224355
1.5,all,all+frontrun,3,271.0,7.0,38.714285714285715,24.0,0.1033210332103321,0.4797047970479705,0.3726937269372694,1.9328370599571318,0.007132240073642553
1.5,clean_mixed,all,0,131.0,7.0,18.714285714285715,17.0,0.25190839694656486,0.32061068702290074,0.3511450381679389,85.78547798240011,0.6548509769648864
1.5,clean_mixed,all,1,131.0,7.0,18.714285714285715,17.0,0.25190839694656486,0.32061068702290074,0.3511450381679389,85.78547798240011,0.6548509769648864
1.5,clean_mixed,all,2,123.0,7.0,17.571428571428573,16.0,0.24390243902439024,0.3089430894308943,0.36585365853658536,80.72225346947066,0.6562784834916313
1.5,clean_mixed,all,3,83.0,7.0,11.857142857142858,9.0,0.20481927710843373,0.27710843373493976,0.4457831325301205,51.146522791628456,0.6162231661641983
1.5,clean_mixed,range_start,0,7.0,5.0,1.4,1.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,-0.03571428571428559,-0.005102040816326513
1.5,clean_mixed,range_start,1,7.0,5.0,1.4,1.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,-0.03571428571428559,-0.005102040816326513
1.5,clean_mixed,range_start,2,7.0,5.0,1.4,1.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,-0.03571428571428559,-0.005102040816326513
1.5,clean_mixed,range_start,3,7.0,5.0,1.4,1.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,-0.03571428571428559,-0.005102040816326513
1.5,clean_mixed,after_formed,0,26.0,7.0,3.7142857142857144,4.0,0.34615384615384615,0.4230769230769231,0.23076923076923078,13.72180631326449,0.5277617812794035
1.5,clean_mixed,after_formed,1,26.0,7.0,3.7142857142857144,4.0,0.34615384615384615,0.4230769230769231,0.23076923076923078,13.72180631326449,0.5277617812794035
1.5,clean_mixed,after_formed,2,22.0,7.0,3.142857142857143,3.0,0.3181818181818182,0.45454545454545453,0.22727272727272727,9.579793851674285,0.43544517507610386
1.5,clean_mixed,after_formed,3,14.0,6.0,2.3333333333333335,2.0,0.2857142857142857,0.35714285714285715,0.35714285714285715,8.013470316889837,0.5723907369207026
1.5,clean_mixed,post_breakout,0,3.0,3.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,-1.1,-0.3666666666666667
1.5,clean_mixed,post_breakout,1,3.0,3.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,-1.1,-0.3666666666666667
1.5,clean_mixed,post_breakout,2,3.0,3.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,-1.1,-0.3666666666666667
1.5,clean_mixed,post_breakout,3,3.0,3.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,-1.1,-0.3666666666666667
1.5,clean_mixed,m7,0,27.0,7.0,3.857142857142857,5.0,0.4444444444444444,0.37037037037037035,0.18518518518518517,28.976996860424432,1.0732221059416456
1.5,clean_mixed,m7,1,27.0,7.0,3.857142857142857,5.0,0.4444444444444444,0.37037037037037035,0.18518518518518517,28.976996860424432,1.0732221059416456
1.5,clean_mixed,m7,2,27.0,7.0,3.857142857142857,5.0,0.4444444444444444,0.37037037037037035,0.18518518518518517,28.976996860424432,1.0732221059416456
1.5,clean_mixed,m7,3,17.0,6.0,2.8333333333333335,3.0,0.4117647058823529,0.29411764705882354,0.29411764705882354,15.279029548437471,0.8987664440257336
1.5,clean_mixed,frontrun,0,68.0,7.0,9.714285714285714,8.0,0.16176470588235295,0.20588235294117646,0.4852941176470588,44.22238909442547,0.6503292513886099
1.5,clean_mixed,frontrun,1,68.0,7.0,9.714285714285714,8.0,0.16176470588235295,0.20588235294117646,0.4852941176470588,44.22238909442547,0.6503292513886099
1.5,clean_mixed,frontrun,2,64.0,7.0,9.142857142857142,7.0,0.15625,0.171875,0.515625,43.30117704308623,0.6765808912982223
1.5,clean_mixed,frontrun,3,42.0,7.0,6.0,5.0,0.11904761904761904,0.14285714285714285,0.5952380952380952,28.989737212015434,0.6902318383813199
1.5,clean_mixed,m7+frontrun,0,95.0,7.0,13.571428571428571,13.0,0.24210526315789474,0.25263157894736843,0.4,73.1993859548499,0.7705198521563148
1.5,clean_mixed,m7+frontrun,1,95.0,7.0,13.571428571428571,13.0,0.24210526315789474,0.25263157894736843,0.4,73.1993859548499,0.7705198521563148
1.5,clean_mixed,m7+frontrun,2,91.0,7.0,13.0,12.0,0.24175824175824176,0.23076923076923078,0.4175824175824176,72.27817390351065,0.7942656472913258
1.5,clean_mixed,m7+frontrun,3,59.0,7.0,8.428571428571429,7.0,0.2033898305084746,0.1864406779661017,0.5084745762711864,44.268766760452905,0.7503180806856424
1.5,clean_mixed,range+post,0,10.0,5.0,2.0,2.0,0.1,0.7,0.2,-1.1357142857142857,-0.11357142857142857
1.5,clean_mixed,range+post,1,10.0,5.0,2.0,2.0,0.1,0.7,0.2,-1.1357142857142857,-0.11357142857142857
1.5,clean_mixed,range+post,2,10.0,5.0,2.0,2.0,0.1,0.7,0.2,-1.1357142857142857,-0.11357142857142857
1.5,clean_mixed,range+post,3,10.0,5.0,2.0,2.0,0.1,0.7,0.2,-1.1357142857142857,-0.11357142857142857
1.5,clean_mixed,range+after,0,33.0,7.0,4.714285714285714,4.0,0.30303030303030304,0.48484848484848486,0.21212121212121213,13.686092027550206,0.41473006144091534
1.5,clean_mixed,range+after,1,33.0,7.0,4.714285714285714,4.0,0.30303030303030304,0.48484848484848486,0.21212121212121213,13.686092027550206,0.41473006144091534
1.5,clean_mixed,range+after,2,29.0,7.0,4.142857142857143,4.0,0.27586206896551724,0.5172413793103449,0.20689655172413793,9.544079565959999,0.3291061919296551
1.5,clean_mixed,range+after,3,21.0,7.0,3.0,3.0,0.23809523809523808,0.47619047619047616,0.2857142857142857,7.977756031175552,0.37989314434169297
1.5,clean_mixed,post+after,0,29.0,7.0,4.142857142857143,4.0,0.3103448275862069,0.4482758620689655,0.2413793103448276,12.621806313264491,0.43523470045739626
1.5,clean_mixed,post+after,1,29.0,7.0,4.142857142857143,4.0,0.3103448275862069,0.4482758620689655,0.2413793103448276,12.621806313264491,0.43523470045739626
1.5,clean_mixed,post+after,2,25.0,7.0,3.5714285714285716,3.0,0.28,0.48,0.24,8.479793851674286,0.33919175406697144
1.5,clean_mixed,post+after,3,17.0,7.0,2.4285714285714284,2.0,0.23529411764705882,0.4117647058823529,0.35294117647058826,6.913470316889836,0.4066747245229316
1.5,clean_mixed,range+post+after,0,36.0,7.0,5.142857142857143,4.0,0.2777777777777778,0.5,0.2222222222222222,12.586092027550206,0.34961366743195016
1.5,clean_mixed,range+post+after,1,36.0,7.0,5.142857142857143,4.0,0.2777777777777778,0.5,0.2222222222222222,12.586092027550206,0.34961366743195016
1.5,clean_mixed,range+post+after,2,32.0,7.0,4.571428571428571,4.0,0.25,0.53125,0.21875,8.44407956596,0.26387748643625
1.5,clean_mixed,range+post+after,3,24.0,7.0,3.4285714285714284,3.0,0.20833333333333334,0.5,0.2916666666666667,6.877756031175551,0.28657316796564797
1.5,clean_mixed,range+m7+frontrun,0,102.0,7.0,14.571428571428571,13.0,0.23529411764705882,0.28431372549019607,0.38235294117647056,73.16367166913561,0.7172908987170158
1.5,clean_mixed,range+m7+frontrun,1,102.0,7.0,14.571428571428571,13.0,0.23529411764705882,0.28431372549019607,0.38235294117647056,73.16367166913561,0.7172908987170158
1.5,clean_mixed,range+m7+frontrun,2,98.0,7.0,14.0,12.0,0.23469387755102042,0.2653061224489796,0.3979591836734694,72.24245961779636,0.7371679552836363
1.5,clean_mixed,range+m7+frontrun,3,66.0,7.0,9.428571428571429,7.0,0.19696969696969696,0.24242424242424243,0.4696969696969697,44.23305247473862,0.670197764768767
1.5,clean_mixed,all+frontrun,0,131.0,7.0,18.714285714285715,17.0,0.25190839694656486,0.32061068702290074,0.3511450381679389,85.78547798240011,0.6548509769648864
1.5,clean_mixed,all+frontrun,1,131.0,7.0,18.714285714285715,17.0,0.25190839694656486,0.32061068702290074,0.3511450381679389,85.78547798240011,0.6548509769648864
1.5,clean_mixed,all+frontrun,2,123.0,7.0,17.571428571428573,16.0,0.24390243902439024,0.3089430894308943,0.36585365853658536,80.72225346947066,0.6562784834916313
1.5,clean_mixed,all+frontrun,3,83.0,7.0,11.857142857142858,9.0,0.20481927710843373,0.27710843373493976,0.4457831325301205,51.146522791628456,0.6162231661641983
1.5,clean_only,all,0,69.0,7.0,9.857142857142858,9.0,0.34782608695652173,0.2318840579710145,0.36231884057971014,84.66515118179694,1.2270311765477817
1.5,clean_only,all,1,69.0,7.0,9.857142857142858,9.0,0.34782608695652173,0.2318840579710145,0.36231884057971014,84.66515118179694,1.2270311765477817
1.5,clean_only,all,2,63.0,7.0,9.0,8.0,0.3333333333333333,0.2222222222222222,0.38095238095238093,77.60192666886749,1.2317766137915476
1.5,clean_only,all,3,45.0,7.0,6.428571428571429,6.0,0.26666666666666666,0.17777777777777778,0.4666666666666667,50.03085772183898,1.1117968382630883
1.5,clean_only,range_start,0,3.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.9642857142857144,1.3214285714285714
1.5,clean_only,range_start,1,3.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.9642857142857144,1.3214285714285714
1.5,clean_only,range_start,2,3.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.9642857142857144,1.3214285714285714
1.5,clean_only,range_start,3,3.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.9642857142857144,1.3214285714285714
1.5,clean_only,after_formed,0,18.0,7.0,2.5714285714285716,3.0,0.4444444444444444,0.3333333333333333,0.2222222222222222,15.46557449589881,0.8591985831054895
1.5,clean_only,after_formed,1,18.0,7.0,2.5714285714285716,3.0,0.4444444444444444,0.3333333333333333,0.2222222222222222,15.46557449589881,0.8591985831054895
1.5,clean_only,after_formed,2,14.0,7.0,2.0,2.0,0.42857142857142855,0.35714285714285715,0.21428571428571427,11.323562034308605,0.8088258595934718
1.5,clean_only,after_formed,3,10.0,6.0,1.6666666666666667,2.0,0.4,0.3,0.3,8.431652135071657,0.8431652135071657
1.5,clean_only,post_breakout,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9,0.9
1.5,clean_only,post_breakout,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9,0.9
1.5,clean_only,post_breakout,2,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9,0.9
1.5,clean_only,post_breakout,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9,0.9
1.5,clean_only,m7,0,14.0,6.0,2.3333333333333335,2.0,0.5,0.2857142857142857,0.21428571428571427,24.380733792649313,1.7414809851892366
1.5,clean_only,m7,1,14.0,6.0,2.3333333333333335,2.0,0.5,0.2857142857142857,0.21428571428571427,24.380733792649313,1.7414809851892366
1.5,clean_only,m7,2,14.0,6.0,2.3333333333333335,2.0,0.5,0.2857142857142857,0.21428571428571427,24.380733792649313,1.7414809851892366
1.5,clean_only,m7,3,9.0,5.0,1.8,1.0,0.4444444444444444,0.2222222222222222,0.3333333333333333,13.070408399850116,1.4522675999833463
1.5,clean_only,frontrun,0,33.0,7.0,4.714285714285714,4.0,0.24242424242424243,0.15151515151515152,0.48484848484848486,39.95455717896311,1.210744156938276
1.5,clean_only,frontrun,1,33.0,7.0,4.714285714285714,4.0,0.24242424242424243,0.15151515151515152,0.48484848484848486,39.95455717896311,1.210744156938276
1.5,clean_only,frontrun,2,31.0,7.0,4.428571428571429,4.0,0.22580645161290322,0.12903225806451613,0.5161290322580645,37.03334512762387,1.1946240363749634
1.5,clean_only,frontrun,3,22.0,7.0,3.142857142857143,4.0,0.13636363636363635,0.09090909090909091,0.5909090909090909,23.664511472631503,1.075659612392341
1.5,clean_only,m7+frontrun,0,47.0,7.0,6.714285714285714,6.0,0.3191489361702128,0.19148936170212766,0.40425531914893614,64.33529097161241,1.368835978119413
1.5,clean_only,m7+frontrun,1,47.0,7.0,6.714285714285714,6.0,0.3191489361702128,0.19148936170212766,0.40425531914893614,64.33529097161241,1.368835978119413
1.5,clean_only,m7+frontrun,2,45.0,7.0,6.428571428571429,5.0,0.3111111111111111,0.17777777777777778,0.4222222222222222,61.41407892027317,1.3647573093394039
1.5,clean_only,m7+frontrun,3,31.0,7.0,4.428571428571429,5.0,0.22580645161290322,0.12903225806451613,0.5161290322580645,36.73491987248162,1.1849974152413425
1.5,clean_only,range+post,0,4.0,3.0,1.3333333333333333,1.0,0.25,0.25,0.5,4.864285714285715,1.2160714285714287
1.5,clean_only,range+post,1,4.0,3.0,1.3333333333333333,1.0,0.25,0.25,0.5,4.864285714285715,1.2160714285714287
1.5,clean_only,range+post,2,4.0,3.0,1.3333333333333333,1.0,0.25,0.25,0.5,4.864285714285715,1.2160714285714287
1.5,clean_only,range+post,3,4.0,3.0,1.3333333333333333,1.0,0.25,0.25,0.5,4.864285714285715,1.2160714285714287
1.5,clean_only,range+after,0,21.0,7.0,3.0,3.0,0.42857142857142855,0.3333333333333333,0.23809523809523808,19.429860210184522,0.9252314385802153
1.5,clean_only,range+after,1,21.0,7.0,3.0,3.0,0.42857142857142855,0.3333333333333333,0.23809523809523808,19.429860210184522,0.9252314385802153
1.5,clean_only,range+after,2,17.0,7.0,2.4285714285714284,3.0,0.4117647058823529,0.35294117647058826,0.23529411764705882,15.287847748594316,0.8992851616820187
1.5,clean_only,range+after,3,13.0,7.0,1.8571428571428572,2.0,0.38461538461538464,0.3076923076923077,0.3076923076923077,12.39593784935737,0.9535336807197977
1.5,clean_only,post+after,0,19.0,7.0,2.7142857142857144,3.0,0.42105263157894735,0.3157894736842105,0.2631578947368421,16.36557449589881,0.8613460260999373
1.5,clean_only,post+after,1,19.0,7.0,2.7142857142857144,3.0,0.42105263157894735,0.3157894736842105,0.2631578947368421,16.36557449589881,0.8613460260999373
1.5,clean_only,post+after,2,15.0,7.0,2.142857142857143,3.0,0.4,0.3333333333333333,0.26666666666666666,12.223562034308605,0.8149041356205736
1.5,clean_only,post+after,3,11.0,6.0,1.8333333333333333,2.0,0.36363636363636365,0.2727272727272727,0.36363636363636365,9.331652135071657,0.8483320122792416
1.5,clean_only,range+post+after,0,22.0,7.0,3.142857142857143,3.0,0.4090909090909091,0.3181818181818182,0.2727272727272727,20.32986021018452,0.9240845550083873
1.5,clean_only,range+post+after,1,22.0,7.0,3.142857142857143,3.0,0.4090909090909091,0.3181818181818182,0.2727272727272727,20.32986021018452,0.9240845550083873
1.5,clean_only,range+post+after,2,18.0,7.0,2.5714285714285716,3.0,0.3888888888888889,0.3333333333333333,0.2777777777777778,16.187847748594315,0.8993248749219064
1.5,clean_only,range+post+after,3,14.0,7.0,2.0,2.0,0.35714285714285715,0.2857142857142857,0.35714285714285715,13.29593784935737,0.9497098463826693
1.5,clean_only,range+m7+frontrun,0,50.0,7.0,7.142857142857143,6.0,0.32,0.2,0.4,68.29957668589813,1.3659915337179627
1.5,clean_only,range+m7+frontrun,1,50.0,7.0,7.142857142857143,6.0,0.32,0.2,0.4,68.29957668589813,1.3659915337179627
1.5,clean_only,range+m7+frontrun,2,48.0,7.0,6.857142857142857,6.0,0.3125,0.1875,0.4166666666666667,65.37836463455889,1.362049263219977
1.5,clean_only,range+m7+frontrun,3,34.0,7.0,4.857142857142857,5.0,0.23529411764705882,0.14705882352941177,0.5,40.69920558676733,1.1970354584343332
1.5,clean_only,all+frontrun,0,69.0,7.0,9.857142857142858,9.0,0.34782608695652173,0.2318840579710145,0.36231884057971014,84.66515118179694,1.2270311765477817
1.5,clean_only,all+frontrun,1,69.0,7.0,9.857142857142858,9.0,0.34782608695652173,0.2318840579710145,0.36231884057971014,84.66515118179694,1.2270311765477817
1.5,clean_only,all+frontrun,2,63.0,7.0,9.0,8.0,0.3333333333333333,0.2222222222222222,0.38095238095238093,77.60192666886749,1.2317766137915476
1.5,clean_only,all+frontrun,3,45.0,7.0,6.428571428571429,6.0,0.26666666666666666,0.17777777777777778,0.4666666666666667,50.03085772183898,1.1117968382630883
2.0,all,all,0,304.0,7.0,43.42857142857143,44.0,0.08552631578947369,0.555921052631579,0.29605263157894735,-14.057536491659452,-0.046241896354142935
2.0,all,all,1,304.0,7.0,43.42857142857143,44.0,0.08552631578947369,0.555921052631579,0.29605263157894735,-14.057536491659452,-0.046241896354142935
2.0,all,all,2,273.0,7.0,39.0,33.0,0.08424908424908426,0.5347985347985348,0.315018315018315,-3.208121975266348,-0.01175136254676318
2.0,all,all,3,197.0,7.0,28.142857142857142,19.0,0.08121827411167512,0.5076142131979695,0.3553299492385787,4.898889922854265,0.02486746153733129
2.0,all,range_start,0,10.0,6.0,1.6666666666666667,1.0,0.1,0.7,0.2,5.808352365826168,0.5808352365826168
2.0,all,range_start,1,10.0,6.0,1.6666666666666667,1.0,0.1,0.7,0.2,5.808352365826168,0.5808352365826168
2.0,all,range_start,2,10.0,6.0,1.6666666666666667,1.0,0.1,0.7,0.2,5.808352365826168,0.5808352365826168
2.0,all,range_start,3,10.0,6.0,1.6666666666666667,1.0,0.1,0.7,0.2,5.808352365826168,0.5808352365826168
2.0,all,after_formed,0,53.0,7.0,7.571428571428571,8.0,0.16981132075471697,0.6037735849056604,0.22641509433962265,5.534116283764936,0.10441728837292333
2.0,all,after_formed,1,53.0,7.0,7.571428571428571,8.0,0.16981132075471697,0.6037735849056604,0.22641509433962265,5.534116283764936,0.10441728837292333
2.0,all,after_formed,2,43.0,7.0,6.142857142857143,7.0,0.16279069767441862,0.6511627906976745,0.18604651162790697,1.304742851497278,0.030342857011564608
2.0,all,after_formed,3,30.0,7.0,4.285714285714286,3.0,0.16666666666666666,0.6,0.23333333333333334,4.162832952260328,0.13876109840867762
2.0,all,post_breakout,0,28.0,7.0,4.0,4.0,0.07142857142857142,0.6785714285714286,0.25,-8.827885673504728,-0.3152816311965974
2.0,all,post_breakout,1,28.0,7.0,4.0,4.0,0.07142857142857142,0.6785714285714286,0.25,-8.827885673504728,-0.3152816311965974
2.0,all,post_breakout,2,27.0,7.0,3.857142857142857,4.0,0.07407407407407407,0.6666666666666666,0.25925925925925924,-7.8278856735047295,-0.2899216916112863
2.0,all,post_breakout,3,23.0,7.0,3.2857142857142856,4.0,0.08695652173913043,0.6086956521739131,0.30434782608695654,-3.827885673504728,-0.16642981189150993
2.0,all,m7,0,61.0,7.0,8.714285714285714,9.0,0.14754098360655737,0.6229508196721312,0.22950819672131148,5.033750162541596,0.08252049446789501
2.0,all,m7,1,61.0,7.0,8.714285714285714,9.0,0.14754098360655737,0.6229508196721312,0.22950819672131148,5.033750162541596,0.08252049446789501
2.0,all,m7,2,58.0,7.0,8.285714285714286,9.0,0.15517241379310345,0.603448275862069,0.2413793103448276,8.033750162541597,0.1385129338369241
2.0,all,m7,3,40.0,7.0,5.714285714285714,5.0,0.15,0.575,0.275,3.6463306361024226,0.09115826590256057
2.0,all,frontrun,0,152.0,7.0,21.714285714285715,19.0,0.03289473684210526,0.48026315789473684,0.3618421052631579,-21.605869630287422,-0.14214387914662777
2.0,all,frontrun,1,152.0,7.0,21.714285714285715,19.0,0.03289473684210526,0.48026315789473684,0.3618421052631579,-21.605869630287422,-0.14214387914662777
2.0,all,frontrun,2,135.0,7.0,19.285714285714285,15.0,0.02962962962962963,0.42962962962962964,0.4074074074074074,-10.527081681626663,-0.07797838282686417
2.0,all,frontrun,3,94.0,7.0,13.428571428571429,11.0,0.02127659574468085,0.40425531914893614,0.4574468085106383,-4.890740357829925,-0.052029152742871544
