frontrun_class,trades,avg_r,win_rate,med_mins,pct_entry_cluster,pct_perfect_rej,avg_range_p_confirm,avg_seq_intraday_hold
post_breakout,298,2.86396218613417,0.4899328859060403,75.0,0.39932885906040266,0.5805369127516778,0.6347651006711409,0.47473694972374914
no_breakout,72,2.198364617635451,0.375,172.5,0.3194444444444444,0.5277777777777778,0.6122222222222222,0.30177710405806746
frontrun,69,2.927139525654418,0.5072463768115942,25.0,0.43478260869565216,0.6376811594202898,0.5340579710144928,0.4510043184098768
m7_first_two,53,4.311417918515661,0.6226415094339622,5.0,0.41509433962264153,0.5660377358490566,0.5822641509433962,0.4557138062408051
unknown,1,0.0,0.0,,0.0,0.0,0.5,0.5
