entry_ts,entry_time,entry_time_et,ny_day,session,direction,entry_price,stop_price,primary_target,primary_reason,r_target,reasoning,hit_1h,r_1h,hit_2h,r_2h,hit_4h,r_4h,hit_session,r_session
1750030800,2025-06-15 23:40:00+00:00,2025-06-15 19:40:00-04:00,2025-06-15,AR,short,6038.75,6043.25,6017.25,prev_wddrb_lo,4.777777777777778,"wddrb_long=0.00, wddrb_short=1.00, rej_count=31, wick=0.42, conf=1.86, target=prev_wddrb_lo",open,0.0,stop,-1.0,stop,-1.0,open,0.0
1750035900,2025-06-16 01:05:00+00:00,2025-06-15 21:05:00-04:00,2025-06-15,AS,short,6041.75,6043.0,6034.75,asia_low,5.6,"wddrb_long=0.00, wddrb_short=1.00, rej_count=5, wick=1.00, conf=2.00, target=asia_low",open,0.0,stop,-1.0,stop,-1.0,stop,-1.0
1750382100,2025-06-20 01:15:00+00:00,2025-06-19 21:15:00-04:00,2025-06-19,AS,long,6015.25,6018.75,6028.75,asia_high,3.857142857142857,"wddrb_long=1.00, wddrb_short=0.00, rej_count=11, wick=0.45, conf=1.28, target=asia_high",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1750821000,2025-06-25 03:10:00+00:00,2025-06-24 23:10:00-04:00,2025-06-24,AS,long,6144.75,6147.75,6155.25,prev_wddrb_hi,3.5,"wddrb_long=0.79, wddrb_short=0.05, rej_count=14, wick=0.50, conf=1.31, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1750835700,2025-06-25 07:15:00+00:00,2025-06-25 03:15:00-04:00,2025-06-25,OR,long,6145.5,6143.25,6155.25,prev_wddrb_hi,4.333333333333333,"wddrb_long=0.79, wddrb_short=0.05, rej_count=16, wick=0.44, conf=1.57, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1750847100,2025-06-25 10:25:00+00:00,2025-06-25 06:25:00-04:00,2025-06-25,OS,long,6145.0,6147.75,6155.25,prev_wddrb_hi,3.727272727272727,"wddrb_long=0.79, wddrb_short=0.05, rej_count=11, wick=0.55, conf=1.65, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1751494500,2025-07-02 22:15:00+00:00,2025-07-02 18:15:00-04:00,2025-07-02,TA,long,6273.5,6274.25,6276.5,prev_wddrb_hi,4.0,"wddrb_long=1.00, wddrb_short=0.00, rej_count=39, wick=0.41, conf=1.76, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1751850900,2025-07-07 01:15:00+00:00,2025-07-06 21:15:00-04:00,2025-07-06,AS,long,6298.25,6296.5,6304.0,asia_high,3.2857142857142856,"wddrb_long=1.00, wddrb_short=0.00, rej_count=23, wick=0.43, conf=1.44, target=asia_high",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1752458100,2025-07-14 01:55:00+00:00,2025-07-13 21:55:00-04:00,2025-07-13,AS,short,6272.0,6271.0,6268.25,asia_low,3.75,"wddrb_long=0.00, wddrb_short=1.00, rej_count=13, wick=0.46, conf=1.49, target=asia_low",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1753334700,2025-07-24 05:25:00+00:00,2025-07-24 01:25:00-04:00,2025-07-24,AS,long,6400.5,6400.0,6402.25,asia_high,3.5,"wddrb_long=1.00, wddrb_short=0.00, rej_count=36, wick=0.42, conf=1.47, target=asia_high",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1753341300,2025-07-24 07:15:00+00:00,2025-07-24 03:15:00-04:00,2025-07-24,OR,long,6396.5,6397.0,6399.25,prev_wddrb_hi,5.5,"wddrb_long=1.00, wddrb_short=0.00, rej_count=8, wick=0.50, conf=1.37, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1753426500,2025-07-25 06:55:00+00:00,2025-07-25 02:55:00-04:00,2025-07-25,TO,long,6408.75,6407.0,6418.25,prev_wddrb_hi,5.428571428571429,"wddrb_long=1.00, wddrb_short=0.00, rej_count=16, wick=0.50, conf=1.41, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,open,0.0
1753663200,2025-07-28 00:40:00+00:00,2025-07-27 20:40:00-04:00,2025-07-27,AS,long,6450.0,6450.5,6451.723568032601,intraday_pct_level,3.4471360652023577,"wddrb_long=1.00, wddrb_short=0.00, rej_count=21, wick=0.86, conf=1.74, target=intraday_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1753749000,2025-07-29 00:30:00+00:00,2025-07-28 20:30:00-04:00,2025-07-28,AS,short,6428.0,6434.0,6408.75,prev_wddrb_lo,3.2083333333333335,"wddrb_long=0.05, wddrb_short=0.75, rej_count=14, wick=0.64, conf=1.24, target=prev_wddrb_lo",open,0.0,open,0.0,open,0.0,open,0.0
1753845000,2025-07-30 03:10:00+00:00,2025-07-29 23:10:00-04:00,2025-07-29,AS,short,6413.75,6416.0,6396.25,prev_wddrb_lo,7.777777777777778,"wddrb_long=0.05, wddrb_short=0.75, rej_count=11, wick=0.64, conf=1.50, target=prev_wddrb_lo",open,0.0,stop,-1.0,stop,-1.0,open,0.0
1753849500,2025-07-30 04:25:00+00:00,2025-07-30 00:25:00-04:00,2025-07-30,AS,short,6415.5,6416.0,6414.0,asia_low,3.0,"wddrb_long=0.05, wddrb_short=0.75, rej_count=15, wick=0.40, conf=1.55, target=asia_low",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1753855200,2025-07-30 06:00:00+00:00,2025-07-30 02:00:00-04:00,2025-07-30,TO,short,6414.75,6411.75,6396.25,prev_wddrb_lo,6.166666666666667,"wddrb_long=0.05, wddrb_short=0.75, rej_count=30, wick=0.57, conf=1.51, target=prev_wddrb_lo",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1753872600,2025-07-30 10:50:00+00:00,2025-07-30 06:50:00-04:00,2025-07-30,OS,short,6412.75,6416.0,6396.25,prev_wddrb_lo,5.076923076923077,"wddrb_long=0.05, wddrb_short=0.75, rej_count=13, wick=0.46, conf=1.71, target=prev_wddrb_lo",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
