ts,timestamp,symbol,session,archetype,direction,entry,stop,target,risk,reward,r_multiple,confidence,reasons,horizon,outcome,exit_price,ambiguous,month
1546443000,2019-01-02 10:30:00,ES,RS,wddrb_sigma_distribution,long,2482.25,2480.25,2494.75,2.0,12.5,6.25,0.55,"['wddrb_mid_sigma', 'model_up_bias']",session,target,2494.75,False,2019-01
1546443000,2019-01-02 10:30:00,ES,RS,model_forward,long,2482.25,2480.25,2494.75,2.0,12.5,6.25,0.55,"['model_up_bias', 'model_up_bias']",session,target,2494.75,False,2019-01
1547049900,2019-01-09 11:05:00,ES,RS,cluster_rejection_fade,long,2581.75,2579.625,2590.25,2.125,8.5,4.0,0.7000000000000001,"['rejection_bias', 'cluster_confluence', 'model_up_bias', 'cluster_near_weekly']",session,target,2590.25,False,2019-01
1547049900,2019-01-09 11:05:00,ES,RS,model_forward,long,2581.75,2579.625,2590.25,2.125,8.5,4.0,0.7000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']",session,target,2590.25,False,2019-01
1548234600,2019-01-23 04:10:00,ES,OS,wddrb_sigma_distribution,long,2635.5,2633.5,2656.5,2.0,21.0,3.875,0.6,['wddrb_mid_sigma'],session,timeout,2643.25,False,2019-01
1548234600,2019-01-23 04:10:00,ES,OS,model_forward,long,2635.5,2633.5,2656.5,2.0,21.0,3.875,0.6,['model_up_bias'],session,timeout,2643.25,False,2019-01
1548236400,2019-01-23 04:40:00,ES,OS,wddrb_sigma_distribution,long,2637.0,2635.0,2656.5,2.0,19.5,3.125,0.6,['wddrb_mid_sigma'],session,timeout,2643.25,False,2019-01
1548236400,2019-01-23 04:40:00,ES,OS,model_forward,long,2637.0,2635.0,2656.5,2.0,19.5,3.125,0.6,['model_up_bias'],session,timeout,2643.25,False,2019-01
1547045100,2019-01-09 09:45:00,ES,RR,cluster_rejection_fade,long,2581.0,2579.0,2586.5,2.0,5.5,2.75,0.7000000000000001,"['rejection_bias', 'cluster_confluence', 'model_up_bias', 'cluster_near_weekly']",session,target,2586.5,False,2019-01
1548835200,2019-01-30 03:00:00,ES,OR,wddrb_sigma_distribution,long,2640.25,2638.25,2650.0,2.0,9.75,2.625,0.7000000000000001,"['wddrb_mid_sigma', 'model_up_bias', 'cluster_near_weekly']",session,timeout,2645.5,False,2019-01
1548835200,2019-01-30 03:00:00,ES,OR,cluster_rejection_fade,long,2640.25,2638.25,2650.0,2.0,9.75,2.625,0.7000000000000001,"['rejection_bias', 'cluster_confluence', 'model_up_bias', 'cluster_near_weekly']",session,timeout,2645.5,False,2019-01
1547602200,2019-01-15 20:30:00,ES,AS,wddrb_sigma_distribution,long,2602.75,2599.0,2613.75,3.75,11.0,2.4,0.6000000000000001,"['wddrb_mid_sigma', 'model_up_bias']",session,timeout,2611.75,False,2019-01
1547602200,2019-01-15 20:30:00,ES,AS,model_forward,long,2602.75,2599.0,2613.75,3.75,11.0,2.4,0.6000000000000001,"['model_up_bias', 'model_up_bias']",session,timeout,2611.75,False,2019-01
1548858900,2019-01-30 09:35:00,ES,RR,cluster_rejection_fade,short,2656.25,2658.25,2651.5,2.0,4.75,2.375,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_darkpool']",session,target,2651.5,False,2019-01
1548257400,2019-01-23 10:30:00,ES,RS,wddrb_sigma_distribution,short,2641.5,2646.25,2631.25,4.75,10.25,2.1578947368421053,0.55,"['wddrb_mid_sigma', 'cluster_near_weekly']",session,target,2631.25,False,2019-01
1547629200,2019-01-16 04:00:00,ES,OS,model_forward,short,2614.75,2616.75,2569.5,2.0,45.25,1.875,0.6000000000000001,"['model_down_bias', 'model_down_bias']",session,timeout,2611.0,False,2019-01
1548858600,2019-01-30 09:30:00,ES,RR,cluster_rejection_fade,short,2655.0,2657.0,2651.5,2.0,3.5,1.75,0.65,"['rejection_bias', 'cluster_confluence', 'cluster_near_darkpool']",session,target,2651.5,False,2019-01
1547047800,2019-01-09 10:30:00,ES,RS,wddrb_sigma_distribution,short,2577.75,2583.625,2570.375,5.875,7.375,1.25531914893617,0.5,['wddrb_mid_sigma'],session,target,2570.375,False,2019-01
1548838800,2019-01-30 04:00:00,ES,OS,wddrb_sigma_distribution,long,2644.75,2639.625,2650.0,5.125,5.25,1.024390243902439,0.65,"['wddrb_mid_sigma', 'model_up_bias']",session,target,2650.0,False,2019-01
1548838800,2019-01-30 04:00:00,ES,OS,model_forward,long,2644.75,2639.625,2650.0,5.125,5.25,1.024390243902439,0.65,"['model_up_bias', 'model_up_bias']",session,target,2650.0,False,2019-01
1548257400,2019-01-23 10:30:00,ES,RS,model_forward,long,2641.5,2646.25,2653.75,4.75,12.25,1.0,0.7000000000000001,"['model_up_bias', 'model_up_bias', 'cluster_near_weekly']",session,stop,2646.25,False,2019-01
1547047800,2019-01-09 10:30:00,ES,RS,model_forward,long,2577.75,2583.625,2590.25,5.875,12.5,1.0,0.65,"['model_up_bias', 'model_up_bias']",session,stop,2583.625,False,2019-01
