symbol,day_date,session,session_id,next_session_id,entry_ts,direction,entry,exit_ts,exit,exit_reason,prior_range_sd,stop_dist,tp_dist,p_up,p_dn,ev_long,ev_short,pnl_points_gross,pnl_points,pnl_R,equity_points,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES,2012-01-03,AR,ES-20120103-AR,ES-20120103-AS,2012-01-03 20:30:00-05:00,short,1271.0,2012-01-03 20:35:00-05:00,1272.0702311604705,stop,1.0702311604705308,1.0702311604705308,1.6053467407057962,0.4358902025479002,0.8573583506624193,-0.14386888821887905,0.9098014820674187,-1.0702311604704846,-1.3202311604704846,-1.2335943945885863,-1.3202311604704846,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-04,RR,ES-20120104-RR,ES-20120104-RS,2012-01-04 10:30:00-05:00,short,1264.25,2012-01-04 11:00:00-05:00,1266.8155549825372,stop,2.565554982537113,2.565554982537113,3.8483324738056695,0.48236298277472267,0.9101311435890291,0.10846265388184681,1.1778830559176128,-2.565554982537151,-2.815554982537151,-1.0974448030549746,-4.1357861430076355,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-05,RR,ES-20120105-RR,ES-20120105-RS,2012-01-05 11:20:00-05:00,long,1267.25,2012-01-05 11:20:00-05:00,1264.6627399679035,stop,2.587260032096535,2.587260032096535,3.8808900481448023,0.7761673608967609,0.48642756691196626,0.843791083418669,0.11944159845668259,-2.5872600320965375,-2.8372600320965375,-1.096627318823234,-6.973046175104173,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-05,TOUT,ES-20120105-TOUT,ES-20120105-TA,2012-01-05 18:00:00-05:00,short,1272.5,2012-01-05 18:45:00-05:00,1273.722796084046,stop,1.2227960840458811,1.2227960840458811,1.8341941260688217,0.18705412640635422,0.7331352052950323,-0.7368141447419718,0.6283885524797234,-1.2227960840459673,-1.4727960840459673,-1.2044494607579277,-8.44584225915014,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-05,AR,ES-20120105-AR,ES-20120105-AS,2012-01-05 20:40:00-05:00,short,1271.0,2012-01-05 21:00:00-05:00,1272.0041853204937,stop,1.004185320493548,1.004185320493548,1.5062779807403222,0.5716430794793277,0.7529280393618544,0.18014966784687514,0.6333620675531918,-1.0041853204936615,-1.2541853204936615,-1.248958030851557,-9.700027579643802,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-09,RR,ES-20120109-RR,ES-20120109-RS,2012-01-09 10:30:00-05:00,long,1276.75,2012-01-09 10:40:00-05:00,1274.1704753599895,stop,2.5795246400104435,2.5795246400104435,3.869286960015665,0.9314790292110104,0.4575475804931877,1.2317804914372577,0.04695186964270083,-2.5795246400105043,-2.8295246400105043,-1.096917081590292,-12.529552219654306,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-09,AR,ES-20120109-AR,ES-20120109-AS,2012-01-09 20:30:00-05:00,long,1278.25,2012-01-09 22:15:00-05:00,1279.7513562947163,tp,1.0009041964775194,1.0009041964775194,1.501356294716279,0.769226386132534,0.6468273403199637,0.6732918102425417,0.3672941957111159,1.5013562947162882,1.2513562947162882,1.2502258449112158,-11.278195924938018,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-11,AR,ES-20120111-AR,ES-20120111-AS,2012-01-11 20:30:00-05:00,short,1286.0,2012-01-11 21:00:00-05:00,1287.0433845483758,stop,1.043384548375845,1.043384548375845,1.5650768225637677,0.6210334106621173,0.8978762316642526,0.31297867493580445,1.0050857274411429,-1.0433845483757977,-1.2933845483757977,-1.2396048517194433,-12.571580473313816,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-12,RR,ES-20120112-RR,ES-20120112-RS,2012-01-12 10:40:00-05:00,short,1282.5,2012-01-12 11:05:00-05:00,1284.9765678181498,stop,2.4765678181496713,2.4765678181496713,3.7148517272245067,0.35006061532832866,0.8146257192149069,-0.22579461714799315,0.9356181425684527,-2.4765678181497606,-2.7265678181497606,-1.1009461554688507,-15.298148291463576,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-12,AR,ES-20120112-AR,ES-20120112-AS,2012-01-12 20:45:00-05:00,short,1292.25,2012-01-13 00:45:00-05:00,1293.259494401851,stop,1.0094944018509526,1.0094944018509526,1.514241602776429,0.5591110185491761,0.8611754112988987,0.15012882287173615,0.9052898047460427,-1.0094944018510432,-1.2594944018510432,-1.2476487235012939,-16.55764269331462,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-13,AR,ES-20120113-AR,ES-20120113-AS,2012-01-15 20:30:00-05:00,short,1282.0,2012-01-15 21:00:00-05:00,1282.9843345334205,stop,0.9843345334205243,0.9843345334205243,1.4765018001307866,0.39710708838745656,0.8759116758634078,-0.2612109737859353,0.9358004949039428,-0.9843345334204514,-1.2343345334204514,-1.2539786947545026,-17.79197722673507,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-17,RR,ES-20120117-RR,ES-20120117-RS,2012-01-17 10:45:00-05:00,short,1293.0,2012-01-17 11:10:00-05:00,1295.5909762435685,stop,2.590976243568573,2.590976243568573,3.886464365352859,0.5370672320899172,0.698405272692498,0.24617935300447985,0.6495244545109315,-2.590976243568548,-2.840976243568548,-1.0964887272203037,-20.63295347030362,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-17,AR,ES-20120117-AR,ES-20120117-AS,2012-01-17 20:30:00-05:00,short,1290.0,2012-01-17 22:05:00-05:00,1290.9996709985105,stop,0.9996709985105845,0.9996709985105845,1.4995064977658767,0.6350292642198975,0.8513339966676118,0.33749088310798897,0.8782527142272745,-0.9996709985105099,-1.24967099851051,-1.2500822774416802,-21.88262446881413,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-18,RR,ES-20120118-RR,ES-20120118-RS,2012-01-18 10:30:00-05:00,long,1297.5,2012-01-18 11:35:00-05:00,1294.9227717867527,stop,2.5772282132472775,2.5772282132472775,3.865842319870916,0.9601047823841014,0.16602355711264669,1.303258516872101,-0.6819445463065356,-2.577228213247281,-2.827228213247281,-1.0970034390881538,-24.70985268206141,2008-01-01,2011-12-31,2012-01-01,2012-03-31
ES,2012-01-19,AR,ES-20120119-AR,ES-20120119-AS,2012-01-19 20:30:00-05:00,long,1309.75,2012-01-19 21:30:00-05:00,1308.7320686611927,stop,1.0179313388074394,1.0179313388074394,1.526897008211159,0.8575370860902547,0.41921565749785145,0.8982465826879664,-0.19755698879304168,-1.0179313388073297,-1.2679313388073297,-1.2455961325375624,-25.97778402086874,2008-01-01,2011-12-31,2012-01-01,2012-03-31
