name,trade_sessions,score_mode,ev_min_points,min_risk_pts,min_risk_pts_by_session,min_train_rows,target_risk_dollars,total_R,avg_R,max_dd_R,total_dollars,max_dd_dollars,n_entered,profitable_windows,n_test_windows,profitable_windows_frac,RR_sum_R,RR_n,TOUT_sum_R,TOUT_n
rr_tout_lcb_ev0p60,"RR,TOUT",lcb,0.6,5.05,,3000,200.0,82.17998002024095,0.11997077375217656,-18.69848394540994,16435.99600404819,-3739.6967890819874,685,19,55,0.34545454545454546,56.9409021742074,549,25.239077846033542,136
rr_tout_lcb_ev0p75,"RR,TOUT",lcb,0.75,5.05,,3000,200.0,84.3948018230173,0.13044018828905302,-15.604161019400198,16878.960364603467,-3120.8322038800397,647,21,55,0.38181818181818183,58.91344421985186,523,25.481357603165463,124
rr_tout_lcb_ev0p90,"RR,TOUT",lcb,0.9,5.05,,3000,200.0,85.82041732009314,0.14068920872146418,-13.20970118011364,17164.083464018626,-2641.9402360227177,610,22,55,0.4,60.992910490039044,508,24.827506830054087,102
rr_tout_mean_ev0p60,"RR,TOUT",mean,0.6,5.05,,3000,200.0,101.22337209807878,0.13961844427321213,-14.843311553427338,20244.67441961576,-2968.662310685467,725,20,55,0.36363636363636365,79.06038669684338,581,22.16298540123541,144
rr_tout_mean_ev0p75,"RR,TOUT",mean,0.75,5.05,,3000,200.0,102.22272308604298,0.1501067886726035,-12.88857697868566,20444.544617208598,-2577.7153957371265,681,21,55,0.38181818181818183,82.36612900871458,554,19.856594077328392,127
rr_tout_mean_ev0p90,"RR,TOUT",mean,0.9,5.05,,3000,200.0,97.64405407017853,0.15209354216538712,-15.256922301552194,19528.810814035707,-3051.3844603104353,642,21,55,0.38181818181818183,78.19300618951192,537,19.451047880666607,105
rr_tout_lcb_ev0p75_RRmin6,"RR,TOUT",lcb,0.75,,"{'RR': 6.0, 'TOUT': 5.05}",3000,200.0,91.767154727807,0.1497017206000114,-12.221749156414639,18353.430945561402,-2444.3498312829247,613,20,55,0.36363636363636365,66.28579712464155,489,25.481357603165463,124
rr_tout_lcb_ev0p75_RRmin7,"RR,TOUT",lcb,0.75,,"{'RR': 7.0, 'TOUT': 5.05}",3000,200.0,86.62687798133328,0.15251210912206564,-12.221749156414637,17325.375596266655,-2444.3498312829265,568,19,55,0.34545454545454546,61.145520378167824,444,25.481357603165463,124
