ts,timestamp_ny,session,archetype,direction,entry,stop,target,r_multiple,condition,expectation,invalidation,weekly_override,horizon,outcome,exit_price,ambiguous,rej_move_away,rej_retest_count,rej_quality
1736955000,2025-01-15T10:30:00-05:00,RS,after_formed,short,5985.25,5991.25,5870.193374588728,-1.0,rejection bias + confluence,THEN expect rotation toward 5870.19.,"IF price breaks 5991.25, THEN short thesis invalid.",False,session,stop,5991.25,False,12.75,1.0,clean
1737363600,2025-01-20T04:00:00-05:00,OS,after_formed,short,6037.0,6039.0,6024.622014405515,-1.0,perfect rejection + box down,THEN expect rotation toward 6024.62.,"IF price breaks 6039.00, THEN short thesis invalid.",False,1h,stop,6039.0,False,0.5,3.0,dirty
1737363600,2025-01-20T04:00:00-05:00,OS,after_formed,short,6037.0,6039.0,6024.622014405515,-1.0,perfect rejection + box down,THEN expect rotation toward 6024.62.,"IF price breaks 6039.00, THEN short thesis invalid.",False,2h,stop,6039.0,False,0.5,3.0,dirty
1737363600,2025-01-20T04:00:00-05:00,OS,after_formed,short,6037.0,6039.0,6024.622014405515,-1.0,perfect rejection + box down,THEN expect rotation toward 6024.62.,"IF price breaks 6039.00, THEN short thesis invalid.",False,4h,stop,6039.0,False,0.5,3.0,dirty
1737363600,2025-01-20T04:00:00-05:00,OS,after_formed,short,6037.0,6039.0,6024.622014405515,-1.0,perfect rejection + box down,THEN expect rotation toward 6024.62.,"IF price breaks 6039.00, THEN short thesis invalid.",False,session,stop,6039.0,False,0.5,3.0,dirty
1737124200,2025-01-17T09:30:00-05:00,RR,range_start,short,6026.75,6030.25,5991.244557263521,-1.0,rejection bias + confluence,THEN expect rotation toward 5991.24.,"IF price breaks 6030.25, THEN short thesis invalid.",False,1h,stop,6030.25,False,14.0,5.0,dirty
1737124200,2025-01-17T09:30:00-05:00,RR,range_start,short,6026.75,6030.25,5991.244557263521,-1.0,rejection bias + confluence,THEN expect rotation toward 5991.24.,"IF price breaks 6030.25, THEN short thesis invalid.",False,2h,stop,6030.25,False,14.0,5.0,dirty
1737124200,2025-01-17T09:30:00-05:00,RR,range_start,short,6026.75,6030.25,5991.244557263521,-1.0,rejection bias + confluence,THEN expect rotation toward 5991.24.,"IF price breaks 6030.25, THEN short thesis invalid.",False,4h,stop,6030.25,False,14.0,5.0,dirty
1737124200,2025-01-17T09:30:00-05:00,RR,range_start,short,6026.75,6030.25,5991.244557263521,-1.0,rejection bias + confluence,THEN expect rotation toward 5991.24.,"IF price breaks 6030.25, THEN short thesis invalid.",False,session,stop,6030.25,False,14.0,5.0,dirty
1737642600,2025-01-23T09:30:00-05:00,RR,range_start,short,6113.75,6118.5,6093.693675625956,-1.0,rejection bias + confluence,THEN expect rotation toward 6093.69.,"IF price breaks 6118.50, THEN short thesis invalid.",False,1h,stop,6118.5,False,0.5,3.0,dirty
