archetype,trades,win_rate,total_r,avg_r
range_post_break_pullback,10,0.1,9.796886108462363,0.9796886108462364
wddrb_sigma_distribution,260,0.15,91.25263360624315,0.3509716677163198
cluster_rejection_fade,56,0.08928571428571429,14.521426933500104,0.25931119524107327
