k_sl,k_tp,ev_min,ok,n_trades,total_points,avg_points,max_dd_points,profitable_windows,n_windows
0.75,2.0,0.0,1,3413,-602.2963804417507,-0.1764712512281719,-1202.471484409467,21,55
0.75,2.0,0.5,1,2145,-738.8792628480369,-0.3444658568056116,-1189.9862995209178,17,55
