timestamp,open,high,low,close,volume
2008-01-02 06:00:00,1478.75,1481.0,1478.5,1480.5,4216
2008-01-02 06:05:00,1480.5,1482.75,1480.5,1481.5,2992
2008-01-02 06:10:00,1481.5,1482.0,1480.25,1481.0,1743
2008-01-02 06:15:00,1481.0,1481.25,1480.5,1481.0,1046
2008-01-02 06:20:00,1481.0,1482.0,1481.0,1481.75,530
2008-01-02 06:25:00,1481.75,1482.0,1479.5,1480.75,1214
2008-01-02 06:30:00,1480.75,1481.5,1480.75,1481.5,442
2008-01-02 06:35:00,1481.25,1482.0,1481.25,1481.75,868
2008-01-02 06:40:00,1481.5,1481.75,1481.0,1481.25,422
2008-01-02 06:45:00,1481.25,1482.0,1481.0,1481.5,876
2008-01-02 06:50:00,1481.5,1482.5,1481.25,1482.5,924
2008-01-02 06:55:00,1482.25,1482.75,1482.25,1482.5,1169
