entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_r,bars_held,exit_reason,entry_phase,stop_reason,target_reason
2016-01-04 00:55:00+00:00,2016-01-04 01:00:00+00:00,SHORT,2042.25,2042.5,2042.5,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,asia_low
2016-01-04 02:55:00+00:00,2016-01-04 03:00:00+00:00,SHORT,2029.25,2029.75,2029.75,0.0,-0.5,-1.0,1,stop,breakout,intraday_high,prior_day_low
2016-01-04 05:10:00+00:00,2016-01-04 05:15:00+00:00,SHORT,2019.5,2019.75,2019.75,0.0,-0.25,-1.0,1,stop,breakout,intraday_high,prior_day_low
2016-01-04 07:20:00+00:00,2016-01-04 07:25:00+00:00,SHORT,2015.0,2015.5,2015.5,0.0,-0.5,-1.0,1,stop,range_forming,intraday_high,prior_day_low
2016-01-04 14:40:00+00:00,2016-01-04 14:45:00+00:00,LONG,1992.25,1991.25,1991.25,2001.0,-1.0,-1.0,1,stop,range_forming,wddrb_low,wddrb_high
2016-01-04 16:50:00+00:00,2016-01-04 20:45:00+00:00,SHORT,1989.0,2001.0,2001.0,0.0,-12.0,-1.0,47,stop,breakout,wddrb_high,asia_low
2016-01-05 00:05:00+00:00,2016-01-05 01:30:00+00:00,SHORT,2012.5,2013.25,2013.25,1980.25,-0.75,-1.0,17,stop,range_forming,intraday_high,wddrb_low
2016-01-05 03:30:00+00:00,2016-01-05 03:35:00+00:00,SHORT,2016.0,2016.25,2016.25,1980.25,-0.25,-1.0,1,stop,breakout,intraday_high,wddrb_low
2016-01-05 05:30:00+00:00,2016-01-05 05:35:00+00:00,SHORT,2009.75,2010.0,2010.0,0.0,-0.25,-1.0,1,stop,breakout,intraday_high,prior_day_low
2016-01-05 07:55:00+00:00,2016-01-05 08:00:00+00:00,SHORT,2011.5,2012.0,2012.0,0.0,-0.5,-1.0,1,stop,range_forming,intraday_high,asia_low
2016-01-05 10:05:00+00:00,2016-01-05 13:15:00+00:00,SHORT,1995.75,2005.0,2005.0,0.0,-9.25,-1.0,38,stop,breakout,wddrb_high,prior_day_low
2016-01-05 15:15:00+00:00,2016-01-05 15:20:00+00:00,LONG,2003.25,2001.0,2001.0,2013.0,-2.25,-1.0,1,stop,range_forming,wddrb_low,wddrb_high
2016-01-05 17:20:00+00:00,2016-01-05 19:20:00+00:00,SHORT,1998.5,2013.0,2013.0,0.0,-14.5,-1.0,24,stop,breakout,wddrb_high,asia_low
2016-01-05 21:35:00+00:00,2016-03-11 15:40:00+00:00,SHORT,2011.75,2014.25,2014.25,0.0,-2.5,-1.0,12946,stop,range_forming,wddrb_high,asia_low
2016-03-11 18:10:00+00:00,2016-03-11 20:05:00+00:00,SHORT,2014.25,2019.0,2019.0,0.0,-4.75,-1.0,23,stop,breakout,wddrb_high,asia_low
2016-03-13 23:25:00+00:00,2016-03-16 19:35:00+00:00,SHORT,2017.75,2022.25,2022.25,0.0,-4.5,-1.0,788,stop,range_forming,wddrb_high,asia_low
2016-03-16 22:45:00+00:00,2016-03-17 00:25:00+00:00,SHORT,2017.5,2022.75,2022.75,0.0,-5.25,-1.0,20,stop,range_forming,wddrb_high,asia_low
2016-03-17 02:35:00+00:00,2016-03-17 02:40:00+00:00,SHORT,2022.5,2022.75,2022.75,0.0,-0.25,-1.0,1,stop,breakout,wddrb_high,prior_day_low
2016-03-17 05:05:00+00:00,2016-03-17 07:05:00+00:00,SHORT,2021.0,2022.75,2022.75,0.0,-1.75,-1.0,24,stop,breakout,wddrb_high,prior_day_low
2016-03-17 09:25:00+00:00,2016-03-17 14:55:00+00:00,SHORT,2021.75,2022.75,2022.75,0.0,-1.0,-1.0,66,stop,breakout,wddrb_high,prior_day_low
2016-03-17 16:50:00+00:00,2016-03-17 17:35:00+00:00,SHORT,2029.5,2031.0,2031.0,0.0,-1.5,-1.0,9,stop,breakout,wddrb_high,asia_low
2016-03-17 19:30:00+00:00,2016-03-18 10:45:00+00:00,SHORT,2034.5,2036.75,2036.75,0.0,-2.25,-1.0,168,stop,breakout,wddrb_high,asia_low
2016-03-18 12:50:00+00:00,2016-03-18 13:25:00+00:00,SHORT,2036.0,2036.75,2036.75,0.0,-0.75,-1.0,7,stop,range_forming,wddrb_high,asia_low
2016-03-18 15:20:00+00:00,2016-03-21 09:35:00+00:00,SHORT,2041.75,2042.75,2042.75,0.0,-1.0,-1.0,204,stop,breakout,wddrb_high,asia_low
2016-03-21 11:30:00+00:00,2016-03-21 17:25:00+00:00,SHORT,2039.0,2042.75,2042.75,0.0,-3.75,-1.0,71,stop,breakout,wddrb_high,prior_day_low
2016-03-21 19:25:00+00:00,2016-03-22 00:10:00+00:00,SHORT,2042.0,2044.5,2044.5,0.0,-2.5,-1.0,42,stop,breakout,wddrb_high,asia_low
2016-03-22 02:20:00+00:00,2016-03-22 16:50:00+00:00,SHORT,2042.0,2044.5,2044.5,0.0,-2.5,-1.0,174,stop,range_forming,wddrb_high,prior_day_low
2016-03-22 19:05:00+00:00,2016-03-29 19:20:00+00:00,SHORT,2042.25,2047.5,2047.5,0.0,-5.25,-1.0,1095,stop,breakout,wddrb_high,asia_low
2016-03-29 22:30:00+00:00,2016-03-29 22:35:00+00:00,SHORT,2048.0,2048.25,2048.25,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,asia_low
2016-03-30 00:40:00+00:00,2016-03-30 01:20:00+00:00,SHORT,2049.75,2050.0,2050.0,2019.25,-0.25,-1.0,8,stop,range_forming,intraday_high,wddrb_low
2016-03-30 04:35:00+00:00,2016-03-30 04:40:00+00:00,SHORT,2048.0,2048.25,2048.25,0.0,-0.25,-1.0,1,stop,breakout,intraday_high,prior_day_low
2016-03-30 07:35:00+00:00,2016-03-30 07:40:00+00:00,SHORT,2056.75,2057.0,2057.0,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,prior_day_low
2016-03-30 09:35:00+00:00,2016-06-24 03:45:00+00:00,LONG,2057.0,2019.25,2019.25,2170.25,-37.75,-1.0,16811,stop,breakout,wddrb_low,min_rr
2016-06-24 05:40:00+00:00,2016-07-08 12:30:00+00:00,SHORT,2004.5,2105.0,2105.0,0.0,-100.5,-1.0,2767,stop,breakout,wddrb_high,prior_day_low
2016-07-08 15:20:00+00:00,2016-07-08 15:25:00+00:00,SHORT,2117.0,2117.75,2117.75,0.0,-0.75,-1.0,1,stop,breakout,wddrb_high,asia_low
2016-07-08 17:50:00+00:00,2016-07-08 18:10:00+00:00,SHORT,2119.5,2120.75,2120.75,0.0,-1.25,-1.0,4,stop,breakout,wddrb_high,asia_low
2016-07-10 22:10:00+00:00,2016-07-25 01:05:00+00:00,LONG,2120.5,2171.5,2103.5,2171.5,51.0,3.0,2765,target,range_forming,wddrb_low,min_rr
2016-07-25 03:15:00+00:00,2016-07-25 08:10:00+00:00,SHORT,2167.25,2169.25,2169.25,0.0,-2.0,-1.0,59,stop,breakout,wddrb_high,prior_day_low
2016-07-25 10:10:00+00:00,2016-07-25 15:05:00+00:00,LONG,2168.0,2157.0,2157.0,2201.0,-11.0,-1.0,59,stop,breakout,wddrb_low,min_rr
2016-07-25 17:00:00+00:00,2016-07-26 13:45:00+00:00,SHORT,2157.75,2167.0,2167.0,0.0,-9.25,-1.0,234,stop,breakout,wddrb_high,asia_low
2016-07-26 16:25:00+00:00,2016-07-27 02:35:00+00:00,SHORT,2163.0,2168.0,2168.0,0.0,-5.0,-1.0,107,stop,breakout,wddrb_high,asia_low
2016-07-27 04:35:00+00:00,2016-07-27 05:05:00+00:00,SHORT,2167.25,2168.0,2168.0,0.0,-0.75,-1.0,6,stop,breakout,wddrb_high,prior_day_low
2016-07-27 07:15:00+00:00,2016-07-27 07:20:00+00:00,SHORT,2168.5,2168.75,2168.75,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,prior_day_low
2016-07-27 09:35:00+00:00,2016-07-27 11:55:00+00:00,SHORT,2167.0,2168.0,2168.0,0.0,-1.0,-1.0,28,stop,range_forming,wddrb_high,prior_day_low
2016-07-27 14:10:00+00:00,2016-07-29 15:20:00+00:00,SHORT,2165.25,2169.25,2169.25,0.0,-4.0,-1.0,560,stop,range_forming,wddrb_high,asia_low
2016-07-29 17:40:00+00:00,2016-07-31 22:00:00+00:00,SHORT,2168.0,2171.75,2171.75,0.0,-3.75,-1.0,37,stop,breakout,wddrb_high,asia_low
2016-08-01 00:10:00+00:00,2016-08-01 00:15:00+00:00,SHORT,2171.25,2171.75,2171.75,0.0,-0.5,-1.0,1,stop,range_forming,wddrb_high,asia_low
2016-08-01 02:20:00+00:00,2016-08-01 02:30:00+00:00,SHORT,2176.25,2177.0,2177.0,0.0,-0.75,-1.0,2,stop,breakout,intraday_high,prior_day_low
2016-08-01 06:10:00+00:00,2016-08-05 15:35:00+00:00,SHORT,2176.75,2177.5,2177.5,0.0,-0.75,-1.0,1205,stop,range_forming,intraday_high,prior_day_low
2016-08-05 17:30:00+00:00,2016-08-05 19:15:00+00:00,SHORT,2176.0,2178.0,2178.0,0.0,-2.0,-1.0,21,stop,breakout,wddrb_high,asia_low
2016-08-07 22:40:00+00:00,2016-08-17 15:35:00+00:00,LONG,2177.75,2166.5,2166.5,2211.5,-11.25,-1.0,2114,stop,range_forming,wddrb_low,min_rr
2016-08-17 17:40:00+00:00,2016-08-17 18:10:00+00:00,SHORT,2175.0,2176.75,2176.75,0.0,-1.75,-1.0,6,stop,breakout,wddrb_high,asia_low
2016-08-17 20:30:00+00:00,2016-08-17 20:40:00+00:00,SHORT,2180.0,2181.0,2181.0,0.0,-1.0,-1.0,2,stop,range_forming,wddrb_high,asia_low
2016-08-18 00:10:00+00:00,2016-08-18 01:10:00+00:00,SHORT,2180.5,2181.0,2181.0,0.0,-0.5,-1.0,12,stop,range_forming,wddrb_high,asia_low
2016-08-18 03:30:00+00:00,2016-08-18 05:10:00+00:00,SHORT,2182.0,2182.5,2182.5,0.0,-0.5,-1.0,20,stop,breakout,intraday_high,prior_day_low
2016-08-18 07:10:00+00:00,2016-08-18 08:20:00+00:00,SHORT,2179.75,2181.0,2181.0,0.0,-1.25,-1.0,14,stop,range_forming,wddrb_high,prior_day_low
2016-08-18 10:30:00+00:00,2016-08-26 16:05:00+00:00,LONG,2180.0,2165.5,2165.5,2223.5,-14.5,-1.0,1705,stop,breakout,wddrb_low,min_rr
2016-08-26 18:00:00+00:00,2016-09-07 14:30:00+00:00,SHORT,2162.25,2186.75,2186.75,0.0,-24.5,-1.0,2097,stop,breakout,wddrb_high,asia_low
2016-09-07 16:25:00+00:00,2016-09-08 06:10:00+00:00,LONG,2178.75,2186.75,2177.5,2186.75,8.0,6.4,150,target,breakout,wddrb_low,wddrb_high
