feature,importance
rej_close_wddrb_low,15.891487941417711
f_wddrb_open_sd,15.773498980748808
f_week_low_day_number,15.382731663473692
p_box_daily_session_high_percentiles_OR,15.15366509008643
p_first_range_candle_p_touched_rbc,15.13120732386426
p_modeldb_p_model_rx,15.129013107528802
p_wddrb_p_break_short,15.058531710727774
p_box_daily_session_low_percentiles_OS,14.971246690109277
p_first_range_candle_p_touched_m7,14.93469736357909
rej_wick_session_mid,14.71174562637601
rej_wick_asia_mid,14.68332479648559
p_wddrb_model_p_model_o,14.499559245309616
p_range_p_session_close_std,14.449527693678272
p_wddrb_model_p_model_d,14.366385423607287
p_modeldb_p_model_u,14.125497623872548
p_wddrb_model_p_model_i,14.091321876329406
p_box_daily_session_low_percentiles_RR,13.696986465490857
f_high_ar_sd,13.659809746977505
rej_wick_session_low,13.40159348451347
rej_wick_asia_low,13.360644563255088
rej_wick_prior_day_low,13.359214382561259
rej_wick_weekly_low,13.324073197654803
rej_wddrb_high,13.286585463271958
p_modeldb_p_first_mid_break_asia,13.16594264031354
f_current_session_max_ret,13.136267457110511
f_first_break_true_via_wick_range_only,12.906256714469055
f_week_high_day_number,12.761787774425569
p_box_daily_session_low_percentiles_OR,12.70232381191019
p_box_daily_session_high_percentiles_AS,12.568673061916426
rej_close_weekly_high,12.129088007184716
rej_close_session_high,12.126454713329391
rej_close_asia_high,12.11467045377817
f_current_session_max_ext,12.066508201304194
f_high_pct,12.034951123585323
rej_close_prior_day_high,11.971158603706783
p_modeldb_p_first_mid_break_overnight,11.914784961113766
cand_ev,11.909811834391078
rej_wick_weekly_high,11.793108303735952
rej_wick_session_high,11.771020473858602
rej_wick_asia_high,11.760436823641475
rej_wick_prior_day_high,11.731629481549017
f_prior_session_true,11.667852980036226
p_modeldb_p_model_ux,11.137051639143017
f_first_break_true_range_only,10.861261128594524
p_seq_intraday_p_day_high_in_RR,10.796886870550267
p_range_p_confirm_long,10.695236661304161
p_range_p_confirm_short,10.67215824813209
p_modeldb_p_box_up,10.44651929447372
f_first_body_dir,10.230474537223136
p_weekly_current_day_high_percentile_reached,9.6211405147252
p_modeldb_p_session_true,9.563714602004026
f_current_session_break_out_idx,9.484992015023693
f_current_session_box_dir,9.447871685186021
p_seq_asia_hi_pct_percentile,9.39896081789289
f_current_session_box_std,9.263711721390298
f_wddrb_post_low_sd,9.147934619245813
p_seq_intraday_p_day_high_in_RS,9.10280088522109
p_modeldb_p_model_d,9.098354335241956
f_current_session_time_idx_retracement,9.057992141926666
p_modeldb_p_box_down,8.84916258088956
p_seq_asia_p_asia_low_in_AS,8.844584900286199
p_weekly_p_week_low_holds,8.68114490778563
f_current_session_break_out_direction,8.399215129247187
p_seq_intraday_p_day_high_in_OS,8.159145901299082
p_box_daily_session_low_percentiles_TO,8.156965440282313
p_modeldb_p_confirm_short_forward,8.116290246889251
p_modeldb_p_confirm_long_forward,8.043330889092895
p_wddrb_model_p_model_dg,7.843597336808988
f_wddrb_preopen_price,7.334315801547985
f_current_session_true,7.001214434876772
p_first_range_candle_p_first_break_true_range_only,6.914611201234298
p_box_daily_session_high_percentiles_TR,6.847895740271378
f_prior_session_box_dir,6.525247692274107
f_first_break_true,6.409525481762543
f_wdr_high_pct,6.368235964843467
p_modeldb_p_model_dx,6.288752163660002
p_weekly_p_week_high_holds,6.029643653538712
f_prior_session_break_out,5.677935067299932
f_current_session_break_out,5.668697814290772
p_first_range_candle_p_session_box_dir_down,5.606994583931034
f_day_number,5.567545760582016
p_first_range_candle_p_session_box_dir_up,4.447068509768643
f_first_break_dir_via_wick,4.442961577776407
f_wddrb_preopen_sd,4.111685644472876
f_first_break_dir_range_only,3.089465589591609
f_first_break_dir,2.844049745021112
p_first_range_candle_p_first_break_true_via_wick,2.6525864123304794
rej_odr_mid,0.11676147402802292
f_odr_mid_break,0.11108231928380148
p_seq_intraday_p_cycle_pair,0.11046821145061796
rej_wick_adr_mid,0.09574695832582598
rej_wick_odr_mid,0.07787226683220405
f_adr_mid_break,0.07556823658762539
rej_close_adr_mid,0.06706995993414669
p_first_range_candle_p_session_true,0.050128291152684655
p_seq_asia_p_cycle_pair,0.04963909944226208
rej_close_odr_mid,0.04775724756686173
rej_adr_mid,0.04272879703609962
